# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 21 11520
  1 2.83609 569.38 358.045
  2 12.8361 586.297 362.351
  3 22.8361 569.179 364.62
  4 32.8361 572.192 370.086
  5 42.8361 573.698 370.951
  6 52.8361 598.324 369.255
  7 62.8361 603.644 364.898
  8 72.8361 560.578 362.149
  9 82.8361 562.526 359.897
  10 92.8361 562.199 357.546
  11 102.836 567.873 355.188
  12 112.836 589.949 354.445
  13 122.836 572.892 354.429
  14 132.836 568.246 352.736
  15 142.836 588.177 349.154
  16 152.836 571.777 346.166
  17 162.836 571.149 349.064
  18 172.836 576.583 351.51
  19 182.836 555.548 353.302
  20 192.836 573.033 357.012
  21 202.836 26.7558 355.3
200000 21 11520
  1 2.83609 569.654 359.031
  2 12.8361 587.037 361.238
  3 22.8361 571.363 364.044
  4 32.8361 569.135 367.255
  5 42.8361 575.314 372.047
  6 52.8361 594.886 374.31
  7 62.8361 605.405 375.006
  8 72.8361 561.938 375.471
  9 82.8361 562.689 371.931
  10 92.8361 562.967 369.539
  11 102.836 567.506 366.533
  12 112.836 587.669 363.632
  13 122.836 572.936 362.832
  14 132.836 567.447 360.603
  15 142.836 588.639 356.349
  16 152.836 570.029 356.105
  17 162.836 572.789 357.266
  18 172.836 576.446 358.414
  19 182.836 556.093 359.785
  20 192.836 574.587 360.865
  21 202.836 25.4711 358.02
300000 21 11520
  1 2.83609 570.834 368.374
  2 12.8361 586.75 371.193
  3 22.8361 572.423 373.798
  4 32.8361 568.528 376.884
  5 42.8361 573.466 381.773
  6 52.8361 594.592 383.121
  7 62.8361 605.735 378.359
  8 72.8361 560.866 375.232
  9 82.8361 561.536 372.502
  10 92.8361 563.233 370.805
  11 102.836 567.892 371.855
  12 112.836 588.882 369.504
  13 122.836 572.412 366.57
  14 132.836 567.436 361.544
  15 142.836 590.173 360.191
  16 152.836 570.008 357.817
  17 162.836 571.795 363.535
  18 172.836 574.897 365.127
  19 182.836 556.43 366.279
  20 192.836 578.422 365.365
  21 202.836 23.6901 368.795
400000 21 11520.000000000002
  1 2.83609 571.54 372.325
  2 12.8361 587.133 375.566
  3 22.8361 572.346 378.182
  4 32.8361 568.329 380.597
  5 42.8361 572.638 385.929
  6 52.8361 595.891 385.699
  7 62.8361 606.467 381.675
  8 72.8361 559.699 381.494
  9 82.8361 559.752 381.609
  10 92.8361 561.848 377.778
  11 102.836 570.223 375.169
  12 112.836 589.444 371.952
  13 122.836 573.059 369.221
  14 132.836 568.169 365.359
  15 142.836 589.384 363.862
  16 152.836 569.688 362.073
  17 162.836 570.181 365.141
  18 172.836 575.065 367.358
  19 182.836 556.647 368.642
  20 192.836 578.376 369.345
  21 202.836 24.121 369.238
500000 21 11519.999999999996
  1 2.83609 572.642 378.762
  2 12.8361 586.114 380.451
  3 22.8361 572.684 380.522
  4 32.8361 565.875 381.056
  5 42.8361 574.862 384.764
  6 52.8361 596.832 384.72
  7 62.8361 605.44 386.269
  8 72.8361 560.607 387.171
