# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 21 11520.000000000002
  1 2.83609 566.634 430.966
  2 12.8361 586.969 432.388
  3 22.8361 564.843 432.487
  4 32.8361 576.055 437.886
  5 42.8361 563.692 438.822
  6 52.8361 602.79 442.536
  7 62.8361 601.865 440.722
  8 72.8361 582.931 437.05
  9 82.8361 567.977 438.862
  10 92.8361 557.177 436.915
  11 102.836 572.144 434.198
  12 112.836 593.118 430.132
  13 122.836 576.649 428.272
  14 132.836 549.902 427.959
  15 142.836 593.545 424.323
  16 152.836 562.871 422.456
  17 162.836 572.827 424.267
  18 172.836 569.075 425.481
  19 182.836 553.362 427.306
  20 192.836 576.592 428.781
  21 202.836 28.9822 432.531
200000 21 11519.999999999998
  1 2.83609 565.962 433.456
  2 12.8361 587.772 435.092
  3 22.8361 564.955 438.046
  4 32.8361 575.573 438.391
  5 42.8361 563.119 440.277
  6 52.8361 602.879 442.706
  7 62.8361 601.825 441.401
  8 72.8361 582.861 438.743
  9 82.8361 567.64 435.15
  10 92.8361 557.904 430.19
  11 102.836 572.623 428.398
  12 112.836 592.414 428.138
  13 122.836 578.268 427.539
  14 132.836 551.442 427.381
  15 142.836 592.964 426.172
  16 152.836 561.711 425.632
  17 162.836 572.815 425.097
  18 172.836 567.967 431.3
  19 182.836 553.298 432.335
  20 192.836 576.789 432.01
  21 202.836 29.2194 432.788
300000 21 11519.999999999998
  1 2.83609 565.451 435.458
  2 12.8361 588.522 438.765
  3 22.8361 564.451 439.925
  4 32.8361 576.077 441.406
  5 42.8361 563.077 440.447
  6 52.8361 603.139 437.089
  7 62.8361 601.695 435.672
  8 72.8361 582.56 435.344
  9 82.8361 567.792 432.541
  10 92.8361 558.015 433.603
  11 102.836 573.009 431.784
  12 112.836 591.925 428.237
  13 122.836 578.29 427.396
  14 132.836 552.688 428.72
  15 142.836 591.781 427.895
  16 152.836 562.236 427.723
  17 162.836 572.071 429.424
  18 172.836 568.105 435.57
  19 182.836 553.351 437.214
  20 192.836 576.119 435.675
  21 202.836 29.6466 435.858
400000 21 11520
  1 2.83609 565.648 433.038
  2 12.8361 585.205 436.056
  3 22.8361 566.26 437.119
  4 32.8361 575.393 442.625
  5 42.8361 563.209 446.103
  6 52.8361 603.254 444.38
  7 62.8361 600.38 443.72
  8 72.8361 582.122 439.465
  9 82.8361 567.834 438.592
  10 92.8361 556.626 437.861
  11 102.836 571.558 437.865
  12 112.836 592.404 436.226
  13 122.836 577.657 432.128
  14 132.836 554.786 429.038
  15 142.836 591.296 430.118
  16 152.836 567.214 426.668
  17 162.836 571.283 429.373
  18 172.836 567.69 432.358
  19 182.836 556.031 432.376
  20 192.836 576.42 432.004
  21 202.836 27.7298 435.841
500000 21 11519.999999999998
  1 2.83609 567.9 433.49
  2 12.8361 584.3 435.076
