# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 61 34560
  21 198.594 593.914 954.007
  22 208.594 614.604 949.163
  23 218.594 546.283 948.667
  24 228.594 577.046 941.393
  25 238.594 603.749 933.919
  26 248.594 584.607 931.292
  27 258.594 613.048 934.036
  28 268.594 632.37 933.128
  29 278.594 592.714 926.236
  30 288.594 576.475 922.689
  31 298.594 549.376 920.771
  32 308.594 549.447 919.65
  33 318.594 558.152 918.683
  34 328.594 582.961 914.409
  35 338.594 595.215 916.889
  36 348.594 573.293 914.241
  37 358.594 574.031 918.167
  38 368.594 588.998 914.658
  39 378.594 580.971 911.81
  40 388.594 595.667 910.293
  41 398.594 567.199 909.168
  42 408.594 573.359 904.77
  43 418.594 581.746 903.792
  44 428.594 567.464 906.963
  45 438.594 607.907 903.452
  46 448.594 596.833 902.313
  47 458.594 572.915 902.726
  48 468.594 558.958 903.14
  49 478.594 567.175 905.187
  50 488.594 559.593 902.06
  51 498.594 540.335 909.974
  52 508.594 553.287 911.134
  53 518.594 544.699 912.558
  54 528.594 563.508 918.204
  55 538.594 536.29 920.309
  56 548.594 553.43 924.048
  57 558.594 580.232 921.185
  58 568.594 565.33 921.302
  59 578.594 564.55 925.058
  60 588.594 574.7 934.558
  61 598.594 75.5632 942.537
500000 61 34560.00000000001
  1 -1.40616 577.918 931.643
  2 8.59384 614.517 928.256
  3 18.5938 605.216 932.695
  4 28.5938 584.951 930.638
  5 38.5938 580.5 937.841
  6 48.5938 577.9 940.762
  7 58.5938 563.296 937.358
  8 68.5938 561.12 936.357
  9 78.5938 554.434 941.066
  10 88.5938 540.347 949.29
  11 98.5938 534.808 945.683
  12 108.594 553.425 952.243
  13 118.594 560.578 954.037
  14 128.594 571.3 958.769
  15 138.594 591.4 963.165
  16 148.594 577.092 969.044
  17 158.594 560.686 971.682
  18 168.594 581.533 969.144
  19 178.594 584.264 966.21
  20 188.594 594.56 963.107
  21 198.594 593.354 951.76
  22 208.594 614.847 945.32
  23 218.594 546.356 946.446
  24 228.594 577.83 944.171
  25 238.594 603.476 935.908
  26 248.594 584.892 936.558
  27 258.594 615.871 933.016
  28 268.594 629.558 933.795
  29 278.594 593.523 932.729
  30 288.594 575.777 926.014
  31 298.594 550.144 922.218
  32 308.594 549.411 920.382
  33 318.594 559.276 917.729
  34 328.594 580.369 917.003
  35 338.594 595.018 916.638
  36 348.594 574.878 918.08
  37 358.594 574.474 915.988
  38 368.594 588.669 911.712
  39 378.594 582.141 905.59
  40 388.594 593.58 906.719
  41 398.594 567.158 914.794
  42 408.594 573.918 913.867
  43 418.594 581.168 907.993
  44 428.594 567.942 907.768
  45 438.594 609.365 910.474
  46 448.594 593.413 911.602
  47 458.594 574.03 908.647
  48 468.594 558.588 914.7
  49 478.594 567.184 916.391
  50 488.594 560.127 911.821
  51 498.594 538.981 916.466
  52 508.594 554.507 908.592
  53 518.594 545.863 907.558
  54 528.594 563.213 905.085
  55 538.594 536.881 908.817
  56 548.594 554.836 911.143
  57 558.594 579.332 917.529
  58 568.594 564.155 911.683
  59 578.594 565.24 916.909
  60 588.594 575.017 927.854
  61 598.594 75.7882 926.231
600000 61 34560.00000000001
