# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 61 34560
  1 -1.40616 580.115 909.886
  2 8.59384 612.494 913.026
  3 18.5938 589.023 920.579
  4 28.5938 594.839 928.042
  5 38.5938 576.099 931.678
  6 48.5938 579.51 928.283
  7 58.5938 567.924 933.423
  8 68.5938 560.63 938.645
  9 78.5938 559.934 944.604
  10 88.5938 540.448 946.424
  11 98.5938 532.589 945.082
  12 108.594 557.58 950.359
  13 118.594 557.52 951.285
  14 128.594 577.738 949.461
  15 138.594 590.851 947.73
  16 148.594 576.604 952.307
  17 158.594 565.307 950.955
  18 168.594 575.555 947.881
  19 178.594 582.6 943.122
  20 188.594 599.367 942.13
  21 198.594 595.759 945.157
  22 208.594 608.062 938.009
  23 218.594 546.646 938.985
  24 228.594 581.25 933.334
  25 238.594 598.395 930.826
  26 248.594 584.375 927.145
  27 258.594 617.095 914.115
  28 268.594 632.698 912.459
  29 278.594 591.309 915.348
  30 288.594 571.784 910.765
  31 298.594 551.04 907.523
  32 308.594 547.251 900.989
  33 318.594 559.091 894.934
  34 328.594 578.151 894.958
  35 338.594 583.614 893.427
  36 348.594 578.658 896.054
  37 358.594 577.579 894.755
  38 368.594 592.532 894.773
  39 378.594 569.208 891.131
  40 388.594 595.904 884.76
  41 398.594 571.31 885.074
  42 408.594 575.182 882.094
  43 418.594 585.382 881.842
  44 428.594 560.906 876.138
  45 438.594 604.497 875.691
  46 448.594 600.899 869.871
  47 458.594 573.596 872.328
  48 468.594 556.049 874.936
  49 478.594 565.722 880.805
  50 488.594 561.508 886.062
  51 498.594 539.501 886.029
  52 508.594 559.247 888.83
  53 518.594 552.064 887.811
  54 528.594 556.493 890.697
  55 538.594 542.382 890.821
  56 548.594 555.121 894.661
  57 558.594 582.312 891.679
  58 568.594 561.726 899.698
  59 578.594 571.14 905.14
  60 588.594 572.259 907.246
  61 598.594 75.5777 905.875
200000 61 34560.00000000001
