# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 40 23039.999999999996
  1 1.24178 590.858 629.649
  2 11.2418 574.56 633.092
  3 21.2418 585.299 632.031
  4 31.2418 551.519 627.933
  5 41.2418 557.012 631.656
  6 51.2418 550.815 634.523
  7 61.2418 562.038 637.987
  8 71.2418 609.221 636.126
  9 81.2418 623.342 637.643
  10 91.2418 597.593 639.329
  11 101.242 600.374 643.429
  12 111.242 557.401 643.142
  13 121.242 575.914 642.994
  14 131.242 569.046 642.268
  15 141.242 563.516 643.342
  16 151.242 568.609 638.465
  17 161.242 557.095 635.571
  18 171.242 594.491 633.865
  19 181.242 610.394 631.457
  20 191.242 584.729 629.562
  21 201.242 596.472 627.413
  22 211.242 558.417 624.592
  23 221.242 593.215 624.515
  24 231.242 595.445 624.166
  25 241.242 590.008 619.703
  26 251.242 612.483 615.213
  27 261.242 582.031 612.713
  28 271.242 596.477 609.303
  29 281.242 552.276 609.198
  30 291.242 570.622 603.359
  31 301.242 539.084 601.391
  32 311.242 557.217 604.431
  33 321.242 581.304 604.675
  34 331.242 583.52 607.906
  35 341.242 566.306 612.145
  36 351.242 572.792 616.887
  37 361.242 543.189 619.284
  38 371.242 541.35 620.719
  39 381.242 549.85 622.358
  40 391.242 574.116 626.442
200000 40 23040.000000000004
  1 1.24178 591.166 630.653
  2 11.2418 580.423 637.129
  3 21.2418 585.568 637.295
  4 31.2418 548.515 636.358
  5 41.2418 556.353 641.875
  6 51.2418 551.343 648.175
  7 61.2418 562.477 645.99
  8 71.2418 609.454 644.901
  9 81.2418 621.651 646.171
  10 91.2418 598.293 645.647
  11 101.242 599.079 647.782
  12 111.242 556.739 651.294
  13 121.242 576.408 649.885
  14 131.242 567.156 645.23
  15 141.242 562.972 640.284
  16 151.242 569.214 635.741
  17 161.242 558.086 633.665
  18 171.242 594.492 629.717
  19 181.242 609.986 623.934
  20 191.242 585.189 622.227
  21 201.242 596.284 623.518
  22 211.242 558.732 624.615
  23 221.242 592.95 622.86
  24 231.242 593.618 623.168
  25 241.242 590.261 620.197
  26 251.242 610.899 617.651
  27 261.242 583.293 611.79
  28 271.242 597.107 606.31
  29 281.242 552.432 604.355
  30 291.242 570.536 601.903
  31 301.242 538.787 595.633
  32 311.242 555.739 601.596
  33 321.242 582.917 607.037
  34 331.242 584.432 612.4
  35 341.242 567.844 619.196
  36 351.242 571.811 625.201
  37 361.242 543.907 627.632
  38 371.242 541.561 628.14
  39 381.242 548.443 627.73
  40 391.242 573.882 629.287
300000 40 23039.999999999993
  1 1.24178 590.952 629.559
  2 11.2418 580.939 635.915
  3 21.2418 585.828 636.156
  4 31.2418 549.95 642.242
  5 41.2418 554.789 643.636
  6 51.2418 551.427 645.772
  7 61.2418 564.317 648.78
  8 71.2418 607.719 647.409
  9 81.2418 621.318 649.721
  10 91.2418 598.138 650.706
  11 101.242 600.048 651.584
  12 111.242 557.806 649.51
  13 121.242 576.01 645.665
  14 131.242 565.698 644.868
  15 141.242 562.973 646.403
  16 151.242 569.555 643.292
  17 161.242 557.357 638.999
  18 171.242 595.289 634.045
  19 181.242 610.249 630.73
  20 191.242 583.385 621.454
  21 201.242 596.132 617.841
  22 211.242 557.084 613.348
  23 221.242 592.626 617.115
  24 231.242 593.879 618.585
  25 241.242 588.404 616.239
  26 251.242 611.496 621.451
  27 261.242 583.96 620.722
  28 271.242 597.873 617.029
  29 281.242 552.523 613.002
  30 291.242 570.055 605.527
  31 301.242 540.239 606.363
  32 311.242 554.503 606.162
  33 321.242 583.369 612.788
  34 331.242 583.999 614.625
  35 341.242 568.165 616.761
  36 351.242 571.964 621.012
  37 361.242 543.94 624.985
  38 371.242 543.099 628.571
  39 381.242 547.131 628.174
