# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 40 23040
  1 1.24178 575.17 570.534
  2 11.2418 585.49 573.547
  3 21.2418 582.897 576.589
  4 31.2418 551.309 583.709
  5 41.2418 555.868 585.635
  6 51.2418 555.305 586.177
  7 61.2418 567.156 585.32
  8 71.2418 610.977 583.821
  9 81.2418 613.421 588.975
  10 91.2418 598.203 589.838
  11 101.242 598.533 591.08
  12 111.242 564.294 587.509
  13 121.242 576.787 586.658
  14 131.242 569.584 584.556
  15 141.242 558.366 586.856
  16 151.242 570.316 583.006
  17 161.242 567.022 581.828
  18 171.242 594.411 581.69
  19 181.242 607.929 580.263
  20 191.242 582.539 576.358
  21 201.242 596.242 571.938
  22 211.242 563.006 568.126
  23 221.242 584.405 567.787
  24 231.242 603.263 568.07
  25 241.242 584.708 565.625
  26 251.242 602.664 558.379
  27 261.242 567.239 555.379
  28 271.242 586.316 551.926
  29 281.242 561.63 551.638
  30 291.242 560.871 551.778
  31 301.242 553.067 549.194
  32 311.242 554.894 551.768
  33 321.242 583.253 553.439
  34 331.242 569.721 557.923
  35 341.242 569.139 562.491
  36 351.242 572.751 563.038
  37 361.242 551.847 563.734
  38 371.242 556.845 565.459
  39 381.242 558.075 568.557
  40 391.242 574.483 570.567
200000 40 23040.000000000004
  1 1.24178 574.715 576.173
  2 11.2418 580.211 581.117
  3 21.2418 585.977 586.252
  4 31.2418 550.274 587.482
  5 41.2418 557.355 590.259
  6 51.2418 553.929 593.318
  7 61.2418 567.193 592.937
  8 71.2418 610.006 595.752
  9 81.2418 617.945 597.673
  10 91.2418 595.396 601.992
  11 101.242 597.964 604.365
  12 111.242 566.444 602.304
  13 121.242 574.86 597.542
  14 131.242 568.996 595.824
  15 141.242 558.74 593.209
  16 151.242 568.603 593.723
  17 161.242 563.346 591.756
  18 171.242 595.103 588.778
  19 181.242 607.756 585.43
  20 191.242 582.666 583.106
  21 201.242 595.312 580.31
  22 211.242 564.313 576.994
  23 221.242 584.238 573.308
  24 231.242 606.049 573.507
  25 241.242 583.242 570.665
  26 251.242 601.483 570.863
  27 261.242 570.776 567.776
  28 271.242 585.238 560.496
  29 281.242 561.943 559.148
  30 291.242 559.247 556.13
  31 301.242 554.11 553.186
  32 311.242 551.98 551.587
  33 321.242 583.985 558.621
  34 331.242 569.022 559.466
  35 341.242 573.725 563.201
  36 351.242 574.121 565.071
  37 361.242 551.059 569.276
  38 371.242 558.869 572.347
  39 381.242 556.867 572.995
  40 391.242 576.941 572.562
300000 40 23040.000000000007
  1 1.24178 574.446 579.098
  2 11.2418 577.311 585.422
  3 21.2418 583.795 591.741
  4 31.2418 550.11 593.906
  5 41.2418 557.26 598.395
  6 51.2418 554.973 601.087
  7 61.2418 563.285 603.73
  8 71.2418 609.276 607.673
  9 81.2418 619.536 606.602
  10 91.2418 597.176 605.27
  11 101.242 598.134 606.329
  12 111.242 566.346 603.776
  13 121.242 575.003 602.687
  14 131.242 569.162 601.614
  15 141.242 559.277 601.908
  16 151.242 566.727 599.118
  17 161.242 563.125 594.159
  18 171.242 595.379 594.331
  19 181.242 607.163 590.686
  20 191.242 583.485 588.946
  21 201.242 595.164 584.329
  22 211.242 565.09 579.726
  23 221.242 584.963 577.545
  24 231.242 607.126 572.536
  25 241.242 583.457 572.932
  26 251.242 602.561 570.171
  27 261.242 571.964 570.018
  28 271.242 584.382 568.982
  29 281.242 560.29 565.078
  30 291.242 560.194 559.015
  31 301.242 552.605 558.543
  32 311.242 550.245 564.261
  33 321.242 586.945 562.946
  34 331.242 569.981 564.602
  35 341.242 572.996 570.904
  36 351.242 576.7 574.713
  37 361.242 551.649 574.3
  38 371.242 560.782 579.344
  39 381.242 555.557 577.709
  40 391.242 576.384 579.189
400000 40 23040.000000000004
  1 1.24178 574.482 585.186
  2 11.2418 577.152 586.458
  3 21.2418 581.067 595.079
  4 31.2418 549.95 599.487
  5 41.2418 556.502 605.014
  6 51.2418 555.025 604.206
  7 61.2418 561.024 603.984
  8 71.2418 608.72 604.144
  9 81.2418 621.854 607.313
  10 91.2418 598.726 606.422
  11 101.242 598.297 611.115
  12 111.242 565.418 612.361
  13 121.242 575.651 602.076
  14 131.242 568.833 605.261
  15 141.242 560.873 601.918
  16 151.242 565.047 601.512
  17 161.242 564.476 596.351
  18 171.242 594.705 593.149
  19 181.242 607.849 590.37
  20 191.242 583.115 590.43
  21 201.242 594.662 588.042
  22 211.242 563.271 585.125
  23 221.242 585.362 583.428
  24 231.242 608.69 583.114
  25 241.242 585.25 582.315
  26 251.242 603.659 582.484
  27 261.242 568.983 576.903
  28 271.242 583.819 574.07
  29 281.242 559.957 566.904
  30 291.242 561.075 563.339
  31 301.242 551.89 562.988
  32 311.242 547.335 563.109
  33 321.242 589.872 569.979
  34 331.242 568.729 570.468
  35 341.242 571.444 575.315
  36 351.242 580.039 575.478
  37 361.242 551.423 577.78
  38 371.242 563.076 577.975
  39 381.242 555.634 577.856
  40 391.242 577.063 579.35
500000 40 23040
  1 1.24178 575.69 590.175
  2 11.2418 575.776 592.172
  3 21.2418 580.561 592.933
  4 31.2418 550.066 594.364
  5 41.2418 557.771 595.546
  6 51.2418 555.637 598.625
  7 61.2418 562.058 604.931
  8 71.2418 607.158 610.621
  9 81.2418 622.579 611.631
  10 91.2418 598.904 614.744
  11 101.242 600.739 618.939
  12 111.242 566.266 616.65
  13 121.242 575.948 611.787
  14 131.242 568.324 606.606
  15 141.242 562.057 599.866
  16 151.242 562.916 593.553
  17 161.242 565.859 595.829
  18 171.242 594.508 597.771
  19 181.242 607.71 597.393
  20 191.242 582.408 595.657
  21 201.242 593.489 597.701
  22 211.242 559.763 595.942
  23 221.242 586.904 590.285
  24 231.242 608.154 588.261
  25 241.242 585.141 585.031
  26 251.242 604.639 582.536
  27 261.242 569.814 581.456
  28 271.242 586.396 580.492
  29 281.242 557.748 576.578
  30 291.242 562.11 570.432
  31 301.242 550.403 567.995
  32 311.242 547.373 571.518
  33 321.242 588.283 576.171
  34 331.242 569.345 573.387
  35 341.242 567.317 579.782
  36 351.242 584.008 580.774
  37 361.242 550.121 580.4
  38 371.242 566.015 585.842
  39 381.242 555.009 589.565
  40 391.242 575.033 589.645
600000 40 23039.999999999996
  1 1.24178 578.471 591.906
  2 11.2418 575.08 597.188
  3 21.2418 582.589 599.723
  4 31.2418 549.689 600.465
  5 41.2418 557.936 602.833
  6 51.2418 555.724 605.669
  7 61.2418 561.902 610.602
  8 71.2418 605.45 613.196
  9 81.2418 622.85 613.58
  10 91.2418 595.93 614.84
  11 101.242 603.78 616.406
  12 111.242 563.841 614.84
  13 121.242 575.658 610.584
  14 131.242 568.441 606.884
  15 141.242 562.065 606.148
  16 151.242 566.5 604.116
  17 161.242 563.569 601.748
  18 171.242 594.096 598.694
  19 181.242 607.906 599.82
  20 191.242 582.486 598.697
  21 201.242 593.738 596.373
  22 211.242 561.651 595.26
  23 221.242 587.64 597.819
  24 231.242 607.247 596.774
  25 241.242 579.644 594.205
  26 251.242 607.484 593.802
  27 261.242 575.957 592.582
  28 271.242 588.762 590.069
  29 281.242 555.278 582.328
  30 291.242 568.864 576.384
  31 301.242 545.276 574.284
  32 311.242 550.093 572.147
  33 321.242 587.57 571.984
  34 331.242 571.365 574.299
  35 341.242 566.943 582.817
  36 351.242 584.079 580.197
  37 361.242 547.014 586.925
  38 371.242 559.202 588.806
  39 381.242 554.642 595.511
  40 391.242 573.59 597.222
700000 40 23040
  1 1.24178 580.782 597.732
  2 11.2418 573.334 604.03
  3 21.2418 586.181 607.173
  4 31.2418 550.736 613.724
  5 41.2418 560.41 612.483
  6 51.2418 554.656 613.262
  7 61.2418 562.098 616.679
  8 71.2418 602.728 616.676
  9 81.2418 623.471 615.324
  10 91.2418 595.897 619.119
  11 101.242 606.596 617.899
  12 111.242 561.159 617.639
  13 121.242 577.531 615.865
  14 131.242 568.811 609.242
  15 141.242 561.416 607.131
  16 151.242 571.603 603.963
  17 161.242 560.011 603.827
  18 171.242 593.299 599.932
  19 181.242 609.329 597.242
