# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 41 23039.999999999996
  1 1.13996 574.694 882.598
  2 11.14 584.736 890.526
  3 21.14 596.382 895.177
  4 31.14 533.831 899.419
  5 41.14 560.325 899.818
  6 51.14 564.711 901.177
  7 61.14 548.965 903.412
  8 71.14 599.959 902.992
  9 81.14 610.779 902.432
  10 91.14 596.485 902.439
  11 101.14 600.565 907.482
  12 111.14 561.242 903.322
  13 121.14 562.522 901.758
  14 131.14 570.512 906.06
  15 141.14 561.975 902.643
  16 151.14 555.527 901.579
  17 161.14 569.956 902.462
  18 171.14 583.982 899.176
  19 181.14 620.965 901.55
  20 191.14 589.539 898.811
  21 201.14 587.91 893.25
  22 211.14 558.887 892.226
  23 221.14 580.726 883.716
  24 231.14 596.631 884.304
  25 241.14 587.425 886.9
  26 251.14 605.622 882.8
  27 261.14 565.81 872.748
  28 271.14 580.002 869.834
  29 281.14 563.987 868.536
  30 291.14 579.063 860.544
  31 301.14 576.502 861.302
  32 311.14 541.305 871.548
  33 321.14 581.55 872.328
  34 331.14 579.575 874.414
  35 341.14 564.49 875.446
  36 351.14 574.796 878.838
  37 361.14 548.578 880.709
  38 371.14 566.61 880.55
  39 381.14 552.083 877.301
  40 391.14 597.289 878.592
  41 401.14 3.50714 880.654
200000 41 23040.000000000004
  1 1.13996 577.496 879.499
  2 11.14 581.816 886.131
  3 21.14 595.784 890.342
  4 31.14 529.222 898.958
  5 41.14 559.149 904.14
  6 51.14 564.822 909.927
  7 61.14 549.105 909.946
  8 71.14 601.332 910.712
  9 81.14 610.092 911.847
  10 91.14 595.676 916.208
  11 101.14 596.747 917.856
  12 111.14 559.915 921.778
  13 121.14 555.883 916.943
  14 131.14 572.126 906.49
  15 141.14 556.69 901.414
  16 151.14 563.692 901.685
  17 161.14 575.569 900.356
  18 171.14 582.502 899.535
  19 181.14 622.712 898.756
  20 191.14 588.856 898.61
  21 201.14 584.618 899.041
  22 211.14 561.453 899.692
  23 221.14 579.619 894.594
  24 231.14 594.979 888.005
  25 241.14 592.242 885.161
  26 251.14 606.101 880.181
  27 261.14 565.234 880.216
  28 271.14 579.208 883.435
  29 281.14 564.219 881.864
  30 291.14 580.072 879.269
  31 301.14 577.199 877.248
  32 311.14 541.332 877.776
  33 321.14 583.232 882.09
  34 331.14 579.429 882.849
  35 341.14 565.668 881.228
