# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 41 23039.999999999993
  1 1.13996 585.978 943.069
  2 11.14 576.388 943.709
  3 21.14 577.394 946.759
  4 31.14 533.565 942.988
  5 41.14 561.617 942.722
  6 51.14 548.157 947.483
  7 61.14 561.17 950.523
  8 71.14 595.518 948.657
  9 81.14 610.118 950.635
  10 91.14 594.394 956.723
  11 101.14 593.017 960.054
  12 111.14 571.091 961.796
  13 121.14 555.496 965.473
  14 131.14 577.28 956.279
  15 141.14 559.638 949.574
  16 151.14 562.032 956.263
  17 161.14 585.191 962.333
  18 171.14 587.721 960.933
  19 181.14 613.407 954.883
  20 191.14 585.331 953.405
  21 201.14 587.664 950.658
  22 211.14 549.836 947.943
  23 221.14 585.289 943.378
  24 231.14 611.45 937.609
  25 241.14 601.582 933.709
  26 251.14 592.989 929.193
  27 261.14 569.335 932.328
  28 271.14 571.181 938.195
  29 281.14 563.625 934.62
  30 291.14 579.215 931.004
  31 301.14 571.026 927.911
  32 311.14 550.161 930.148
  33 321.14 600.394 928.821
  34 331.14 579.876 931.32
  35 341.14 565.747 923.67
  36 351.14 564.665 933.174
  37 361.14 547.141 934.031
  38 371.14 555.705 941.719
  39 381.14 562.477 940.769
  40 391.14 591.56 943.346
  41 401.14 4.57899 940.782
200000 41 23040.000000000004
  1 1.13996 586.106 940.839
  2 11.14 575.208 946.165
  3 21.14 579.452 944.819
  4 31.14 531.906 944.692
  5 41.14 561.398 951.793
  6 51.14 546.939 952.082
  7 61.14 561.827 954.01
  8 71.14 594.521 949.876
  9 81.14 610.373 948.327
  10 91.14 593.806 959.463
  11 101.14 593.557 962.861
  12 111.14 570.348 965.29
  13 121.14 555.35 962.548
  14 131.14 576.272 959.308
  15 141.14 561.581 955.133
  16 151.14 559.256 958.19
  17 161.14 587.908 954.104
  18 171.14 588.667 954.826
  19 181.14 612.329 952.542
  20 191.14 587.779 950.085
  21 201.14 585.164 937.31
  22 211.14 551.434 936.45
  23 221.14 585.488 936.735
  24 231.14 612.99 936.985
  25 241.14 600.638 939.452
  26 251.14 593.069 938.887
  27 261.14 569.131 928.999
  28 271.14 571.646 929.449
  29 281.14 565.138 926.684
  30 291.14 577.581 927.006
  31 301.14 571.564 927.539
  32 311.14 549.447 928.41
  33 321.14 601.281 934.973
  34 331.14 578.182 942.115
  35 341.14 565.791 941.625
  36 351.14 564.189 937.219
  37 361.14 548.586 943.059
  38 371.14 553.471 941.015
  39 381.14 564.518 936.054
  40 391.14 591.183 941.852
  41 401.14 4.92781 943.765
300000 41 23040.000000000004
  1 1.13996 585.998 948.464
  2 11.14 575.374 952.644
  3 21.14 578.488 958.517
  4 31.14 535.049 951.95
  5 41.14 561.513 951.549
  6 51.14 547.191 954.363
  7 61.14 563.321 950.711
  8 71.14 593.976 954.802
  9 81.14 612.299 951.464
  10 91.14 594.258 957.119
  11 101.14 592.691 961.486
  12 111.14 571.414 951.199
  13 121.14 555.225 951.896
  14 131.14 575.761 949.59
  15 141.14 558.638 947.207
  16 151.14 559.78 941.576
  17 161.14 589.894 940.065
  18 171.14 587.237 939.891
  19 181.14 612.994 933.217
  20 191.14 586.892 933.194
  21 201.14 586.494 934.46
  22 211.14 550.664 939.602
  23 221.14 585.878 941.418
  24 231.14 612.773 943.585
  25 241.14 601.587 939.805
  26 251.14 593.922 935.982
  27 261.14 568.464 933.214
  28 271.14 571.873 934.736
  29 281.14 564.785 936.66
  30 291.14 576.903 938.858
  31 301.14 571.396 939.709
  32 311.14 548.589 934.987
  33 321.14 600.025 941.829
  34 331.14 578.016 941.658
  35 341.14 564.94 943.06
  36 351.14 565.405 949.332
  37 361.14 547.062 952.264
  38 371.14 552.547 950.936
  39 381.14 563.336 952.444
  40 391.14 593.12 953.148
  41 401.14 4.22877 945.756
400000 41 23039.999999999996
  1 1.13996 584.782 951.059
  2 11.14 576.11 951.144
  3 21.14 577.78 945.474
  4 31.14 535.606 948.785
  5 41.14 561.389 949.25
  6 51.14 546.176 948.771
  7 61.14 563.566 952.03
  8 71.14 593.887 953.708
  9 81.14 613.439 951.61
  10 91.14 594.337 954.468
  11 101.14 592.492 961.016
  12 111.14 571.331 958.863
  13 121.14 556.398 960.49
  14 131.14 574.086 959.019
  15 141.14 557.662 959.586
  16 151.14 559.707 949.649
  17 161.14 589.46 953.382
  18 171.14 587.697 956.7
  19 181.14 613.486 951.481
  20 191.14 587.33 947.11
  21 201.14 585.813 947.882
  22 211.14 550.177 948.497
  23 221.14 586.903 944.354
  24 231.14 611.844 935.021
  25 241.14 601.503 931.1
  26 251.14 593.855 933.506
  27 261.14 568.953 936.565
  28 271.14 572.371 935.285
  29 281.14 563.815 934.012
  30 291.14 577.7 934.549
  31 301.14 571.198 930.605
  32 311.14 549.085 929.967
  33 321.14 598.934 930.481
  34 331.14 579.128 939.077
  35 341.14 565.237 940.258
  36 351.14 565.604 936.727
  37 361.14 546.137 937.26
  38 371.14 552.98 937.862
  39 381.14 563.894 941.672
  40 391.14 593.767 947.834
  41 401.14 4.3824 945.87
