# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 41 23040.000000000004
  1 1.13996 585.48 925.239
  2 11.14 574.449 930.042
  3 21.14 589.369 928.981
  4 31.14 528.101 932.93
  5 41.14 562.55 935.412
  6 51.14 551.974 932.154
  7 61.14 558.413 939.515
  8 71.14 598.604 935.283
  9 81.14 608.473 943.887
  10 91.14 598.02 943.095
  11 101.14 597.044 943.342
  12 111.14 565.314 941.836
  13 121.14 562.05 934.177
  14 131.14 568.712 937.779
  15 141.14 553.894 933.061
  16 151.14 567.918 929.042
  17 161.14 571.504 921.14
  18 171.14 586.228 921.238
  19 181.14 610.942 917.873
  20 191.14 582.437 913.144
  21 201.14 585.774 913.357
  22 211.14 554.375 911.844
  23 221.14 584.084 910.987
  24 231.14 593.781 915.816
  25 241.14 604.701 915.651
  26 251.14 600.07 912.989
  27 261.14 571.063 909.45
  28 271.14 566.989 905.528
  29 281.14 567.898 898.407
  30 291.14 583.872 898.01
  31 301.14 575.007 896.178
  32 311.14 550.867 895.653
  33 321.14 593.225 897.775
  34 331.14 583.174 901.539
  35 341.14 571.122 904.802
  36 351.14 566.391 905.527
  37 361.14 544.158 909.192
  38 371.14 563.522 910.863
  39 381.14 564.94 918.85
  40 391.14 588.749 928.013
  41 401.14 4.76151 926.597
200000 41 23040.000000000004
  1 1.13996 585.177 912.883
  2 11.14 575.002 916.777
  3 21.14 589.647 919.561
  4 31.14 527.336 923.705
  5 41.14 563.14 930.857
  6 51.14 551.137 932.129
  7 61.14 558.092 935.536
  8 71.14 597.425 927.403
  9 81.14 608.584 938.806
  10 91.14 597.285 942.967
  11 101.14 596.276 947.787
  12 111.14 566.494 947.532
  13 121.14 560.283 954.419
  14 131.14 569.236 945.616
  15 141.14 553.29 940.667
  16 151.14 567.456 944.789
  17 161.14 572.267 941.927
  18 171.14 583.689 941.409
  19 181.14 611.986 933.019
  20 191.14 584.897 931.74
  21 201.14 583.43 924.818
  22 211.14 556.547 923.922
  23 221.14 583.392 914.232
  24 231.14 597.424 905.775
  25 241.14 606.973 908.423
  26 251.14 600.218 898.823
  27 261.14 570.522 900.373
  28 271.14 566.041 905.265
  29 281.14 567.551 899.988
  30 291.14 583.767 893.284
  31 301.14 577.419 894.026
  32 311.14 548.883 896.939
  33 321.14 593.421 901.007
  34 331.14 583.227 904.799
  35 341.14 570.656 910.677
  36 351.14 566.467 915.26
  37 361.14 542.677 911.281
  38 371.14 564.186 914.581
  39 381.14 564.595 915.385
  40 391.14 588.928 913.363
  41 401.14 4.97866 915.284
300000 41 23040
  1 1.13996 586.044 931.538
  2 11.14 574.736 931.015
  3 21.14 589.612 925.813
  4 31.14 528.394 929.637
  5 41.14 565.241 923.533
  6 51.14 551.79 924.098
  7 61.14 558.308 934.788
  8 71.14 598.045 934.018
  9 81.14 608.506 933.299
  10 91.14 599.048 930.153
  11 101.14 597.865 934.465
  12 111.14 565.225 937.073
  13 121.14 560.351 944.004
  14 131.14 568.162 944.854
  15 141.14 553.643 942.302
  16 151.14 568.963 940.585
  17 161.14 571.606 939.98
  18 171.14 583.694 935.09
  19 181.14 611.986 935.019
  20 191.14 582.468 935.127
  21 201.14 583.193 926.282
  22 211.14 555.403 924.078
  23 221.14 584.069 921.433
  24 231.14 598.317 915.764
  25 241.14 607.431 913.254
  26 251.14 597.85 909.015
  27 261.14 571.282 905.749
  28 271.14 565.733 905.814
  29 281.14 566.426 903.452
  30 291.14 586.301 900.515
  31 301.14 570.763 903.298
  32 311.14 548.675 899.472
  33 321.14 591.135 904.967
  34 331.14 583.278 908.774
  35 341.14 569.664 916.853
  36 351.14 569.529 916.045
  37 361.14 539.995 912.7
  38 371.14 566.243 923.754
  39 381.14 560.892 928.376
  40 391.14 595.562 928.677
  41 401.14 4.57178 941.553
400000 41 23040.000000000007
  1 1.13996 585.241 924.446
  2 11.14 575.272 930.14
  3 21.14 588.013 931.048
  4 31.14 528.045 932.063
  5 41.14 565.166 932.474
  6 51.14 551.162 933.719
  7 61.14 557.845 935.096
  8 71.14 598.056 937.595
  9 81.14 608.54 940.432
  10 91.14 598.971 943.798
  11 101.14 597.68 939.871
  12 111.14 564.892 936.114
  13 121.14 560.402 936.824
  14 131.14 568.512 941.726
  15 141.14 554.174 939.408
  16 151.14 568.883 938.919
  17 161.14 571.924 935.979
  18 171.14 585.191 932.891
  19 181.14 612.378 929.08
  20 191.14 579.056 930.601
  21 201.14 582.426 928.247
  22 211.14 554.296 924.244
  23 221.14 584.516 921.77
  24 231.14 598.079 919.723
  25 241.14 607.699 921.258
  26 251.14 596.747 914.865
  27 261.14 572.47 910.466
  28 271.14 565.743 904.554
  29 281.14 564.954 907.893
  30 291.14 588.153 903.576
  31 301.14 571.514 907.138
  32 311.14 547.025 911.744
  33 321.14 590.166 909.789
  34 331.14 587.108 908.838
  35 341.14 570.145 911.322
  36 351.14 568.889 909.008
  37 361.14 543.731 915.1
  38 371.14 566.43 918.589
  39 381.14 560.462 917.541
  40 391.14 594.939 925.711
  41 401.14 5.10671 932.304
500000 41 23040.000000000004
  1 1.13996 584.849 921.481
  2 11.14 575.716 923.132
  3 21.14 588.349 927.363
  4 31.14 528.053 927.843
  5 41.14 565.488 933.073
  6 51.14 551.73 931.424
  7 61.14 557.49 932.676
  8 71.14 597.812 938.174
  9 81.14 608.368 937.167
  10 91.14 598.879 935.112
  11 101.14 595.354 935.881
  12 111.14 564.982 936.866
  13 121.14 560.394 933.269
  14 131.14 568.741 936.32
  15 141.14 554.174 939.554
  16 151.14 568.384 943.565
  17 161.14 571.926 938.572
  18 171.14 585.52 938.25
  19 181.14 613.039 933.657
  20 191.14 579.071 931.032
  21 201.14 583.463 931.809
  22 211.14 553.931 931.452
  23 221.14 583.725 931.014
  24 231.14 597.448 928.307
  25 241.14 608.161 926.597
  26 251.14 594.774 919.783
  27 261.14 571.389 916.605
  28 271.14 566.789 911.901
  29 281.14 563.412 914.033
  30 291.14 589.656 915.087
  31 301.14 569.442 917.19
  32 311.14 550.789 918.164
  33 321.14 589.406 922.281
  34 331.14 586.93 911.305
  35 341.14 569.856 911.339
  36 351.14 569.643 914.804
  37 361.14 544.021 913.373
  38 371.14 566.893 908.444
  39 381.14 561.444 916.263
  40 391.14 595.204 921.024
  41 401.14 5.30645 916.239
600000 41 23040
  1 1.13996 585.113 925.803
  2 11.14 577.102 930.718
  3 21.14 587.593 938.159
  4 31.14 529.448 933.411
  5 41.14 565.953 933.221
  6 51.14 552.506 938.381
  7 61.14 558.342 938.328
  8 71.14 598.327 940.034
  9 81.14 607.911 944.981
  10 91.14 598.584 949.192
  11 101.14 594.08 949.68
  12 111.14 567.087 943.174
  13 121.14 559.168 935.252
  14 131.14 569.186 935.79
  15 141.14 554.497 942.719
  16 151.14 569.355 942.118
  17 161.14 573.304 936.301
  18 171.14 584.743 934.465
  19 181.14 612.633 936.763
  20 191.14 579.684 934.996
  21 201.14 584.556 929.19
  22 211.14 554.02 926.121
  23 221.14 580.047 928.719
  24 231.14 596.022 931.906
  25 241.14 606.99 934.392
  26 251.14 596.235 930.83
  27 261.14 571.964 928.746
  28 271.14 568.171 919.043
  29 281.14 562.799 915.923
  30 291.14 590.874 915.311
  31 301.14 567.253 911.13
  32 311.14 551.79 907.166
  33 321.14 588.651 910.167
  34 331.14 586.681 913.765
  35 341.14 570.131 909.393
  36 351.14 566.823 910.58
  37 361.14 544.098 906.575
  38 371.14 567.021 912.119
  39 381.14 561.715 918.288
  40 391.14 594.589 925.73
  41 401.14 4.95431 926.202
700000 41 23039.999999999996
  1 1.13996 586.008 926.72
  2 11.14 577.047 929.061
  3 21.14 586.708 933.647
  4 31.14 530.701 926.937
  5 41.14 564.507 932.323
  6 51.14 553.008 938.909
  7 61.14 556.393 947.727
  8 71.14 598.956 946.003
  9 81.14 608.565 944.927
  10 91.14 597.544 944.547
  11 101.14 595.098 945.504
  12 111.14 566.393 940.277
  13 121.14 557.892 940.056
  14 131.14 572.318 935.152
  15 141.14 554.881 938.415
  16 151.14 568.407 939.306
  17 161.14 574.59 939.071
  18 171.14 584.814 938.38
  19 181.14 611.654 940.78
  20 191.14 584.757 937.201
  21 201.14 584.737 941.085
  22 211.14 554.687 940.073
  23 221.14 578.526 935.936
  24 231.14 596.804 934.531
  25 241.14 605.278 934.238
  26 251.14 598.307 924.64
  27 261.14 572.145 920.967
  28 271.14 567.587 913.193
  29 281.14 564.476 906.816
  30 291.14 588.312 905.733
  31 301.14 568.214 906.507
  32 311.14 550.349 910.638
  33 321.14 589.427 917.05
  34 331.14 585.405 919.582
  35 341.14 568.226 918.2
  36 351.14 570.758 921.331
  37 361.14 539.971 919.729
  38 371.14 566.925 921.858
  39 381.14 561.145 921.518
  40 391.14 593.797 924.16
  41 401.14 4.68675 932.084
