# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 21 11520.000000000002
  1 2.90338 569.172 897.204
  2 12.9034 580.653 896.993
  3 22.9034 574.463 909.472
  4 32.9034 568.42 912.121
  5 42.9034 574.077 916.218
  6 52.9034 599.06 915.671
  7 62.9034 623.238 909.949
  8 72.9034 576.157 909.536
  9 82.9034 560.2 908.248
  10 92.9034 557.076 902.791
  11 102.903 576.28 902.311
  12 112.903 586.676 894.568
  13 122.903 561.599 895.414
  14 132.903 551.602 896.095
  15 142.903 607.687 891.241
  16 152.903 564.973 884.305
  17 162.903 566.231 886.936
  18 172.903 565.971 885.676
  19 182.903 565.498 891.042
  20 192.903 569.09 895.739
  21 202.903 21.8798 897.231
200000 21 11520
  1 2.90338 569.471 907.988
  2 12.9034 580.096 903.19
  3 22.9034 574.889 901.329
  4 32.9034 570.647 903.793
  5 42.9034 573.213 904.429
  6 52.9034 599.712 908.851
  7 62.9034 626.487 907.117
  8 72.9034 575.61 907.788
  9 82.9034 561.263 909.049
  10 92.9034 555.412 909.495
  11 102.903 575.67 908.476
  12 112.903 586.919 908.688
  13 122.903 560.269 904.846
  14 132.903 550.501 903.344
  15 142.903 608.356 902.409
  16 152.903 565.149 903.366
  17 162.903 565.26 901.641
  18 172.903 565.026 901.419
  19 182.903 565.117 904.682
  20 192.903 569.217 904.661
  21 202.903 21.7167 903.507
300000 21 11520
  1 2.90338 565.133 912.399
  2 12.9034 579.936 910.842
  3 22.9034 573.672 906.652
  4 32.9034 572.722 912.153
  5 42.9034 576.399 920.843
  6 52.9034 601.249 924.152
  7 62.9034 624.627 917.082
  8 72.9034 570.001 920.442
  9 82.9034 560.556 920.963
  10 92.9034 555.815 918.279
  11 102.903 581.066 914.433
  12 112.903 586.905 912.888
  13 122.903 559.583 914.255
  14 132.903 548.928 906.076
  15 142.903 609.105 904.269
  16 152.903 566.161 901
  17 162.903 563.103 897.246
  18 172.903 564.506 897.938
  19 182.903 567.104 897.693
  20 192.903 572.146 904.743
  21 202.903 21.2839 904.833
400000 21 11520.000000000002
  1 2.90338 565.806 924.385
  2 12.9034 577.581 923.647
  3 22.9034 573.477 925.855
  4 32.9034 576.989 927.427
  5 42.9034 577.521 929.041
