# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 21 11520
  1 2.90338 566.654 933.733
  2 12.9034 575.822 934.646
  3 22.9034 570.043 942.071
  4 32.9034 570.777 942.711
  5 42.9034 582.64 939.919
  6 52.9034 613.238 939.426
  7 62.9034 625.769 928.491
  8 72.9034 564.659 922.871
  9 82.9034 572.987 924.13
  10 92.9034 552.93 934.318
  11 102.903 576.993 926.86
  12 112.903 585.747 926.46
  13 122.903 551.949 930.285
  14 132.903 559.587 930.068
  15 142.903 602.009 923.07
  16 152.903 566.593 925.767
  17 162.903 565.39 927.291
  18 172.903 562.819 928.382
  19 182.903 568.2 936.62
  20 192.903 567.616 937.571
  21 202.903 17.5777 927.717
200000 21 11520
  1 2.90338 564.465 937.834
  2 12.9034 578.648 940.092
  3 22.9034 570.682 939.04
  4 32.9034 569.968 940.762
  5 42.9034 578.536 941.116
  6 52.9034 615.262 939.674
  7 62.9034 625.734 940.096
  8 72.9034 564.56 941.938
  9 82.9034 572.37 939.208
  10 92.9034 554.771 931.443
  11 102.903 577.964 928.128
  12 112.903 585.994 925.729
  13 122.903 551.805 931.649
  14 132.903 557.069 929.492
  15 142.903 603.341 923.737
  16 152.903 565.259 923.808
  17 162.903 564.82 924.407
  18 172.903 565.84 933.635
  19 182.903 568.015 935.419
  20 192.903 567.207 937.528
  21 202.903 17.6913 934.677
300000 21 11520
  1 2.90338 564.311 939.741
  2 12.9034 578.597 940.261
  3 22.9034 571.197 944.267
  4 32.9034 567.386 944.091
  5 42.9034 580.505 944.288
  6 52.9034 615.93 949.308
  7 62.9034 624.703 944.719
  8 72.9034 566.888 934.287
  9 82.9034 573.035 936.243
  10 92.9034 552.75 942.401
  11 102.903 578.732 941.79
  12 112.903 584.167 936.803
  13 122.903 552.092 933.489
  14 132.903 555.895 930.508
  15 142.903 605.081 928.628
  16 152.903 565.089 925.427
  17 162.903 563.154 926.552
  18 172.903 566.111 925.501
  19 182.903 567.416 930.1
  20 192.903 569.21 934.754
  21 202.903 17.7517 938.195
400000 21 11520
  1 2.90338 564.499 936.877
  2 12.9034 578.59 938.431
  3 22.9034 571.037 938.314
  4 32.9034 566.575 943.821
  5 42.9034 585.052 946.415
  6 52.9034 614.605 943.564
  7 62.9034 625.604 941.27
  8 72.9034 564.736 938.192
  9 82.9034 573.025 941.223
  10 92.9034 551.602 940.894
  11 102.903 578.502 941.648
  12 112.903 585.71 943.404
  13 122.903 553.305 943.145
  14 132.903 554.551 937.825
  15 142.903 604.727 938.781
  16 152.903 564.252 934.105
  17 162.903 563.886 933.122
  18 172.903 564.689 929.123
  19 182.903 566.839 927.296
  20 192.903 569.929 933.829
  21 202.903 18.2871 934.405
500000 21 11520.000000000002
  1 2.90338 565.483 939.259
  2 12.9034 579.32 941.342
  3 22.9034 569.696 945.718
  4 32.9034 567.326 947.711
  5 42.9034 586.669 942.805
  6 52.9034 613.684 943.374
  7 62.9034 625.284 947.103
  8 72.9034 564.842 948.042
  9 82.9034 572.272 946.641
  10 92.9034 551.764 946.678
  11 102.903 579.67 941.21
  12 112.903 585.33 938.335
  13 122.903 554.696 935.726
  14 132.903 553.541 934.685
  15 142.903 604.034 928.1
  16 152.903 565.171 925.86
  17 162.903 563.419 927.6
  18 172.903 564.827 927.29
  19 182.903 565.502 931.857
  20 192.903 569.428 938.565
  21 202.903 18.0401 944.051
600000 21 11519.999999999998
  1 2.90338 565.285 937.716
  2 12.9034 577.446 941.478
  3 22.9034 569.927 945.468
  4 32.9034 570.11 945.19
  5 42.9034 585.92 945.897
  6 52.9034 613.136 946.814
  7 62.9034 626.031 946.266
  8 72.9034 565.18 953.916
  9 82.9034 573.371 947.281
  10 92.9034 551.368 945.604
  11 102.903 578.856 942.254
  12 112.903 585.467 942.006
  13 122.903 554.356 937.209
  14 132.903 553.466 933.419
  15 142.903 604.221 928.92
  16 152.903 564.667 930.883
  17 162.903 565.032 926.747
  18 172.903 563.592 929.615
  19 182.903 565.621 939.819
  20 192.903 568.755 936.737
  21 202.903 18.193 939.924
700000 21 11520.000000000002
  1 2.90338 565.297 941.583
  2 12.9034 575.467 944.043
  3 22.9034 570.239 944.868
  4 32.9034 568.307 946.967
  5 42.9034 588.24 946.203
  6 52.9034 612.847 944.044
  7 62.9034 625.568 943.985
  8 72.9034 563.101 949.146
  9 82.9034 573.549 945.093
  10 92.9034 554.566 943.287
  11 102.903 577.075 944.199
  12 112.903 586.546 941.518
  13 122.903 555.937 934.454
  14 132.903 552.529 935.8
  15 142.903 604.184 934.495
  16 152.903 564.898 934.257
  17 162.903 567.005 936.534
  18 172.903 564.561 936.187
  19 182.903 562.206 940.953
  20 192.903 569.444 943.389
  21 202.903 18.4328 949.441
800000 21 11519.999999999998
  1 2.90338 563.839 934.763
  2 12.9034 574.671 935.065
  3 22.9034 570.266 935.092
  4 32.9034 569.424 937.185
  5 42.9034 590.398 934.991
  6 52.9034 613.553 940.644
  7 62.9034 625.221 940.889
  8 72.9034 562.493 941.574
  9 82.9034 573.953 950.468
  10 92.9034 554.525 948.649
  11 102.903 577.367 954.266
  12 112.903 587.391 955.506
  13 122.903 554.635 954.943
  14 132.903 553.404 950.766
  15 142.903 603.561 945.775
  16 152.903 564.524 939.301
  17 162.903 568.316 941.279
  18 172.903 563.851 945.029
  19 182.903 559.278 940.553
  20 192.903 570.372 937.79
  21 202.903 18.9579 937.183
900000 21 11520.000000000002
  1 2.90338 565.162 948.538
  2 12.9034 572.154 948.859
  3 22.9034 573.294 948.195
  4 32.9034 569.276 944.705
  5 42.9034 590.473 950.019
  6 52.9034 615.866 958.782
  7 62.9034 625.159 952.395
  8 72.9034 562.354 950.019
  9 82.9034 574.328 946.805
  10 92.9034 553.034 937.697
  11 102.903 575.485 934.792
  12 112.903 586.201 942.661
  13 122.903 552.84 945.372
  14 132.903 555.648 935.537
  15 142.903 604.324 935.29
  16 152.903 563.791 941.641
  17 162.903 567.841 940.246
  18 172.903 562.574 938.315
  19 182.903 562.591 942.554
  20 192.903 569.051 948.237
  21 202.903 18.5564 950.322
1000000 21 11520
  1 2.90338 565.728 939.926
  2 12.9034 573.026 945.479
  3 22.9034 573.619 946.859
  4 32.9034 568.264 948.888
  5 42.9034 587.74 953.989
  6 52.9034 620.534 954.57
  7 62.9034 620.585 954.138
  8 72.9034 563.764 957.041
  9 82.9034 573.367 953.543
  10 92.9034 555.527 949.838
  11 102.903 572.441 944.468
  12 112.903 587.445 944.796
  13 122.903 553.055 946.571
  14 132.903 556.072 945.621
  15 142.903 604.45 942.23
  16 152.903 562.549 938.49
  17 162.903 569.069 935.4
  18 172.903 562.058 935.204
  19 182.903 563.47 937.07
  20 192.903 568.875 935.634
  21 202.903 18.3648 935.017
