# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 61 34560.000000000015
  1 -0.995422 586.395 442.143
  2 9.00458 597.964 443.178
  3 19.0046 559.089 446.017
  4 29.0046 612.256 446.662
  5 39.0046 591.54 445.122
  6 49.0046 590.47 447.25
  7 59.0046 576.712 452.351
  8 69.0046 563.929 451.317
  9 79.0046 574.375 453.275
  10 89.0046 552.259 454.712
  11 99.0046 561.986 458.859
  12 109.005 561.899 463.144
  13 119.005 557.935 463.449
  14 129.005 572.689 465.833
  15 139.005 578.938 468.691
  16 149.005 570.247 472.221
  17 159.005 575.835 471.354
  18 169.005 581.726 468.836
  19 179.005 579.176 470.642
  20 189.005 599.548 465.614
  21 199.005 581.02 464.264
  22 209.005 622.663 461.967
  23 219.005 560.116 460.816
  24 229.005 591.028 458.789
  25 239.005 582.132 456.057
  26 249.005 585.802 457.143
  27 259.005 599.407 456.287
  28 269.005 593.654 454.439
  29 279.005 571.949 450.848
  30 289.005 541.57 448.717
  31 299.005 565.351 446.53
  32 309.005 543.628 447.807
  33 319.005 559.559 444.959
  34 329.005 584.771 440.615
  35 339.005 566.813 436.202
  36 349.005 569.092 435.569
  37 359.005 576.344 435.087
  38 369.005 599.181 436.088
  39 379.005 552.735 434.023
  40 389.005 592.054 432.398
  41 399.005 551.482 428.299
  42 409.005 589.444 424.477
  43 419.005 587.848 421.688
  44 429.005 568.792 419.332
  45 439.005 586.175 422.202
  46 449.005 598.94 419.449
  47 459.005 586.356 418.658
  48 469.005 558.59 423.091
  49 479.005 579.214 423.427
  50 489.005 568.328 428.003
  51 499.005 553.44 426.527
  52 509.005 576.241 428.923
  53 519.005 558.047 432.802
  54 529.005 568.917 431.829
  55 539.005 539.871 435.283
  56 549.005 558.027 436.799
  57 559.005 569.072 435.563
  58 569.005 564.129 438.008
  59 579.005 589.568 440.116
  60 589.005 588.127 442.099
  61 599.005 35.551 439.648
200000 61 34560.00000000001
  1 -0.995422 586.507 440.103
  2 9.00458 597.298 444.198
  3 19.0046 559.128 446.54
  4 29.0046 613.587 446.548
  5 39.0046 591.268 449.284
  6 49.0046 590.062 450.814
  7 59.0046 576.817 452.001
  8 69.0046 564.489 454.908
  9 79.0046 573.446 456.014
  10 89.0046 552.268 459.401
  11 99.0046 561.822 464.314
  12 109.005 561.392 464.536
  13 119.005 558.622 465.776
  14 129.005 572.602 467.79
  15 139.005 577.952 470.806
  16 149.005 568.268 473.239
  17 159.005 578.071 471.495
  18 169.005 581.502 470.724
  19 179.005 579.286 468.622
  20 189.005 601.605 466.822
  21 199.005 583.756 464.932
  22 209.005 619.608 463.483
  23 219.005 559.795 460.316
  24 229.005 590.821 457.024
  25 239.005 584.808 456.697
  26 249.005 583.184 454.329
  27 259.005 599.931 452.015
  28 269.005 593.618 451.286
  29 279.005 571.878 453.688
  30 289.005 543.084 453.87
  31 299.005 564.096 451.783
  32 309.005 542.63 450.275
  33 319.005 558.749 446.185
  34 329.005 584.869 441.105
  35 339.005 566.895 438.708
  36 349.005 568.612 438.754
  37 359.005 576.683 435.413
  38 369.005 598.711 435.724
  39 379.005 551.072 433.064
  40 389.005 594.894 432.268
  41 399.005 547.676 429.204
  42 409.005 587.315 428.125
  43 419.005 587.621 429.15
  44 429.005 570.597 424.385
  45 439.005 586.27 423.969
  46 449.005 598.477 421.794
  47 459.005 586.533 420.123
  48 469.005 559.356 421.322
  49 479.005 579.84 424.601
  50 489.005 568.935 426.957
  51 499.005 553.276 425.447
  52 509.005 576.483 427.002
  53 519.005 558.268 429.838
  54 529.005 569.473 432.457
  55 539.005 539.313 434.889
  56 549.005 558.209 436.803
  57 559.005 569.722 433.336
  58 569.005 564.942 432.916
  59 579.005 589.617 433.011
  60 589.005 588.37 436.953
  61 599.005 36.0255 438.786
300000 61 34560
  1 -0.995422 586.258 441.026
  2 9.00458 598.375 440.168
  3 19.0046 558.546 444.408
  4 29.0046 613.544 447.916
  5 39.0046 591.74 450.704
  6 49.0046 590.107 451.588
  7 59.0046 577.468 452.566
  8 69.0046 563.829 459.083
  9 79.0046 574.706 464.448
  10 89.0046 551.574 460.247
  11 99.0046 562.137 464.39
  12 109.005 561.387 470.669
  13 119.005 559.789 467.169
  14 129.005 572.421 470.367
  15 139.005 578.103 472.278
  16 149.005 569.322 472.871
  17 159.005 576.919 472.824
  18 169.005 582.016 474.002
  19 179.005 578.999 470.261
  20 189.005 603.11 468.137
  21 199.005 583.688 468.229
  22 209.005 618.664 466.377
  23 219.005 560.983 462.158
  24 229.005 590.183 459.616
  25 239.005 587.494 458.263
  26 249.005 580.999 455.775
  27 259.005 599.172 451.933
  28 269.005 593.456 451.689
  29 279.005 571.939 454.461
  30 289.005 544.753 452.306
  31 299.005 564.093 452.937
  32 309.005 539.162 448.468
  33 319.005 558.859 450.124
  34 329.005 585.81 446.452
  35 339.005 566.499 445.67
  36 349.005 567.857 442.872
  37 359.005 576.375 439.406
  38 369.005 598.614 436.245
  39 379.005 550.072 434.405
  40 389.005 594.492 432.086
  41 399.005 545.72 427.903
  42 409.005 585.848 425.55
  43 419.005 588.774 424.347
  44 429.005 570.092 420.74
  45 439.005 587.04 416.751
  46 449.005 598.514 414.456
  47 459.005 587.164 419.779
  48 469.005 559.504 420.988
  49 479.005 580.559 422.989
  50 489.005 569.599 424.886
  51 499.005 553.564 422.829
  52 509.005 576.323 425.037
  53 519.005 557.792 427.296
  54 529.005 570.301 430.169
  55 539.005 539.003 434.75
  56 549.005 558.709 435.747
  57 559.005 568.801 437.205
  58 569.005 566.283 436.734
  59 579.005 587.131 438.718
  60 589.005 589.857 439.939
  61 599.005 35.909 443.952
400000 61 34560.00000000001
  1 -0.995422 586.376 445.155
  2 9.00458 598.51 447.951
  3 19.0046 557.798 448.697
  4 29.0046 613.697 448.863
  5 39.0046 591.851 450.453
  6 49.0046 590.946 455.568
  7 59.0046 576.682 457.93
  8 69.0046 564.541 457.174
  9 79.0046 575.185 458.925
  10 89.0046 551.18 461.376
  11 99.0046 563.038 463.837
  12 109.005 561.127 466.357
  13 119.005 560.461 468.528
  14 129.005 572.711 467.007
  15 139.005 577.482 470.017
  16 149.005 569.973 473.268
  17 159.005 577.918 474.168
  18 169.005 581.503 473.972
  19 179.005 577.119 471.383
  20 189.005 604.724 470.707
  21 199.005 583.361 467.229
  22 209.005 616.878 469.429
  23 219.005 560.919 468.375
  24 229.005 591.201 465.297
  25 239.005 587.165 463.206
  26 249.005 580.917 458.23
  27 259.005 598.645 456.003
  28 269.005 593.252 452.434
  29 279.005 572.306 451.043
  30 289.005 543.712 450.926
  31 299.005 566.419 445.737
  32 309.005 536.155 443.985
  33 319.005 558.955 444.119
  34 329.005 585.689 445.094
  35 339.005 567.286 441.766
  36 349.005 566.978 437.215
  37 359.005 575.419 435.364
  38 369.005 598.893 435.763
  39 379.005 549.632 432.874
  40 389.005 594.616 429.992
  41 399.005 544.965 427.892
  42 409.005 586.128 427.074
  43 419.005 589.608 424.507
  44 429.005 571.003 420.871
  45 439.005 586.084 418.348
  46 449.005 598.384 417.62
  47 459.005 587.444 418.996
  48 469.005 559.814 420.599
  49 479.005 580.707 422.668
  50 489.005 569.432 424.997
  51 499.005 553.721 424.838
  52 509.005 576.176 428.758
  53 519.005 560.175 432.573
  54 529.005 570.107 435.016
  55 539.005 539.189 440.225
  56 549.005 558.743 441.926
  57 559.005 569.104 444.583
  58 569.005 565.62 442.182
  59 579.005 586.734 441.134
  60 589.005 589.533 442.735
  61 599.005 36.1088 443.187
500000 61 34559.99999999998
  1 -0.995422 586.397 452.42
  2 9.00458 598.131 455.624
  3 19.0046 558.76 452.117
  4 29.0046 613.504 452.092
  5 39.0046 590.351 454.169
  6 49.0046 592.314 452.457
  7 59.0046 576.344 456.433
  8 69.0046 564.926 457.866
  9 79.0046 574.715 458.523
  10 89.0046 550.931 461.632
  11 99.0046 563.423 466.22
  12 109.005 560.614 468.918
  13 119.005 558.595 471.866
  14 129.005 572.225 471.523
  15 139.005 576.272 474.105
  16 149.005 568.411 475.425
  17 159.005 578.078 477.374
  18 169.005 580.986 477.898
  19 179.005 579.239 475.156
  20 189.005 603.83 470.123
  21 199.005 583.908 464.628
  22 209.005 618.886 462.071
  23 219.005 561.002 460.309
  24 229.005 592.083 459.652
  25 239.005 585.5 455.68
  26 249.005 582.409 453.136
  27 259.005 599.212 450.846
  28 269.005 593.316 448.563
  29 279.005 572.373 446.771
  30 289.005 545.534 447.492
  31 299.005 565.964 445.09
  32 309.005 536.192 441.935
  33 319.005 558.961 443.184
  34 329.005 585.697 439.578
  35 339.005 566.624 439.718
  36 349.005 567.242 439.116
  37 359.005 574.843 437.447
  38 369.005 600.048 433.874
  39 379.005 550.31 435.316
  40 389.005 594.6 434.012
  41 399.005 545.648 431.644
  42 409.005 586.116 429.962
  43 419.005 588.613 427.632
  44 429.005 570.494 425.17
  45 439.005 585.938 421.229
  46 449.005 598.897 419.423
  47 459.005 586.739 417.945
  48 469.005 560.47 423.212
  49 479.005 578.469 425.462
  50 489.005 570.263 428.338
  51 499.005 553.194 431.129
  52 509.005 576.129 430.07
  53 519.005 560.224 433.926
  54 529.005 571.283 438.987
  55 539.005 538.795 440.619
  56 549.005 558.882 440.815
  57 559.005 570.329 441.934
  58 569.005 564.543 448.37
  59 579.005 587.42 450.828
  60 589.005 589.07 449.122
  61 599.005 35.7326 449.503
600000 61 34559.99999999999
  1 -0.995422 585.803 450.531
  2 9.00458 596.214 451.45
  3 19.0046 559.712 456.031
  4 29.0046 612.338 455.241
  5 39.0046 590.04 459.838
  6 49.0046 591.86 464.986
  7 59.0046 576.857 465.717
  8 69.0046 564.345 466.957
  9 79.0046 574.736 465.022
  10 89.0046 550.635 464.818
  11 99.0046 563.252 464.722
  12 109.005 559.561 468.168
  13 119.005 558.147 471.751
  14 129.005 571.58 471.13
  15 139.005 576.03 475.536
  16 149.005 567.952 477.154
  17 159.005 577.723 474.205
  18 169.005 581.645 471.138
  19 179.005 580.672 465.175
  20 189.005 602.462 462.326
  21 199.005 582.551 461.82
  22 209.005 621.03 458.782
  23 219.005 560.295 457.764
  24 229.005 593.164 457.567
  25 239.005 583.83 454.848
  26 249.005 584.379 458.509
  27 259.005 600.249 456.943
  28 269.005 592.378 453.664
  29 279.005 572.8 451.753
  30 289.005 543.943 448.493
  31 299.005 565.334 447.237
  32 309.005 537.014 444.361
  33 319.005 559.283 443.384
  34 329.005 586.191 439.241
  35 339.005 566.876 438.842
  36 349.005 566.646 438.987
  37 359.005 576.027 435.753
  38 369.005 599.107 436.513
  39 379.005 552.323 433.217
  40 389.005 596.629 433.932
  41 399.005 546.257 429.444
  42 409.005 587.441 427.068
  43 419.005 588.892 425.065
  44 429.005 569.362 424.184
  45 439.005 584.995 423.467
  46 449.005 603.563 419.773
  47 459.005 585.116 422.592
  48 469.005 559.638 427.757
  49 479.005 577.434 426.46
  50 489.005 569.552 428.108
  51 499.005 553.372 433.297
  52 509.005 575.642 439.527
  53 519.005 561.469 439.464
  54 529.005 569.898 438.738
  55 539.005 539.984 441.98
  56 549.005 558.081 443.736
  57 559.005 570.103 445.844
  58 569.005 566.204 445.753
