# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 21 11520.000000000002
  1 2.84338 558.991 579.724
  2 12.8434 570.321 580.65
  3 22.8434 595.261 583.757
  4 32.8434 567.686 585.767
  5 42.8434 563.035 591.88
  6 52.8434 624.61 591.579
  7 62.8434 619.414 589.603
  8 72.8434 563.03 584.968
  9 82.8434 568.206 580.895
  10 92.8434 561.845 580.699
  11 102.843 572.988 577.316
  12 112.843 577.873 576.163
  13 122.843 568.715 569.269
  14 132.843 556.811 564.256
  15 142.843 590.906 562.778
  16 152.843 565.762 565.522
  17 162.843 571.672 568.8
  18 172.843 572.516 570.918
  19 182.843 551.258 573.136
  20 192.843 565.335 575.61
  21 202.843 33.7642 574.441
200000 21 11520.000000000002
  1 2.84338 556.322 586.131
  2 12.8434 570.835 590.568
  3 22.8434 595.172 591.317
  4 32.8434 569.416 589.157
  5 42.8434 566.247 592.58
  6 52.8434 622.89 595.111
  7 62.8434 619.151 594.116
  8 72.8434 561.962 592.813
  9 82.8434 571.254 591.713
  10 92.8434 563.582 590.838
  11 102.843 568.922 587.474
  12 112.843 579.598 582.809
  13 122.843 568.209 582.086
  14 132.843 557.703 577.846
  15 142.843 592.883 575.582
  16 152.843 561.541 575.191
  17 162.843 572.341 581.14
  18 172.843 573.001 582.05
  19 182.843 552.03 584.485
  20 192.843 560.919 580.92
  21 202.843 36.0203 580.053
300000 21 11519.999999999998
  1 2.84338 554.887 593.463
  2 12.8434 573.922 595.274
  3 22.8434 591.716 596.751
  4 32.8434 570.762 594.805
  5 42.8434 569.328 595.302
  6 52.8434 621.975 602.12
  7 62.8434 618.694 602.578
  8 72.8434 560.254 600.3
  9 82.8434 571.859 600.93
  10 92.8434 563.274 597.558
  11 102.843 570.58 595.852
  12 112.843 578.556 593.341
  13 122.843 571.981 587.649
  14 132.843 554.871 583.867
  15 142.843 594.6 577.736
  16 152.843 563.841 582.09
  17 162.843 574.918 584.121
  18 172.843 570.184 585.632
  19 182.843 551.822 585.943
  20 192.843 554.296 590.095
  21 202.843 37.6782 592.929
400000 21 11520
  1 2.84338 555.629 599.515
  2 12.8434 574.064 598.687
  3 22.8434 592.066 601.017
  4 32.8434 570.179 604.078
  5 42.8434 571.595 605.908
  6 52.8434 618.164 610.103
  7 62.8434 618.706 606.713
  8 72.8434 559.131 602.377
  9 82.8434 574.71 603.499
  10 92.8434 562.938 603.464
  11 102.843 571.532 599.53
  12 112.843 575.351 596.053
  13 122.843 576.599 590.876
  14 132.843 553.733 587.385
  15 142.843 595.374 585.098
  16 152.843 563.542 583.968
  17 162.843 575.295 588.346
  18 172.843 571.323 594.723
  19 182.843 548.396 598.327
  20 192.843 553.068 600.438
  21 202.843 38.6066 602.248
500000 21 11520
  1 2.84338 555.966 602.652
  2 12.8434 573.155 603.753
  3 22.8434 591.072 605.809
  4 32.8434 569.258 606.59
  5 42.8434 567.557 612.626
  6 52.8434 622.379 611.294
  7 62.8434 617.447 611.284
  8 72.8434 560.047 610.183
  9 82.8434 575.482 609.508
  10 92.8434 563.024 606.175
  11 102.843 568.248 602.008
  12 112.843 578.153 597.548
  13 122.843 577.554 597.229
  14 132.843 553.732 592.666
  15 142.843 596.278 593.128
  16 152.843 563.186 591.959
  17 162.843 574.879 598.144
  18 172.843 571.649 601.053
  19 182.843 548.775 602.771
  20 192.843 552.509 601.955
  21 202.843 39.65 600.674
600000 21 11520.000000000002
  1 2.84338 556.634 608.007
  2 12.8434 573.667 608.963
  3 22.8434 590.415 608.599
  4 32.8434 567.85 611.625
  5 42.8434 567.397 615.782
  6 52.8434 622.64 616.158
  7 62.8434 617.543 615.598
  8 72.8434 561.488 617.164
  9 82.8434 574.717 621.076
  10 92.8434 563.763 614.147
  11 102.843 567.132 608.733
  12 112.843 578.026 607.739
  13 122.843 578.435 601.961
  14 132.843 555.968 600.639
  15 142.843 595.764 596.3
  16 152.843 562.278 594.696
  17 162.843 576.119 597.926
  18 172.843 572.37 602.93
  19 182.843 547.835 606.319
  20 192.843 553.14 608.492
  21 202.843 36.8198 610.939
700000 21 11520.000000000002
  1 2.84338 556.958 610.87
  2 12.8434 573.658 612.783
  3 22.8434 590.733 616.419
  4 32.8434 565.866 621.339
  5 42.8434 569.386 620.926
  6 52.8434 620.152 623.307
  7 62.8434 618.587 623.814
  8 72.8434 563.297 621.059
  9 82.8434 573.372 617.948
  10 92.8434 564.644 612.974
  11 102.843 563.939 609.585
  12 112.843 579.091 608.341
  13 122.843 575.916 602.91
  14 132.843 557.812 596.936
  15 142.843 596.616 595.452
  16 152.843 561.42 596.838
  17 162.843 575.724 602.166
  18 172.843 576.738 603.831
  19 182.843 547.679 606.591
  20 192.843 552.1 610.591
  21 202.843 36.3084 610.171
800000 21 11520.000000000002
  1 2.84338 558.428 610.843
  2 12.8434 573.131 607.386
  3 22.8434 590.519 607.719
  4 32.8434 566.093 610.836
  5 42.8434 569.736 615.732
  6 52.8434 619.32 618.125
  7 62.8434 618.028 618.379
  8 72.8434 566.338 615.754
  9 82.8434 572.715 614.822
  10 92.8434 564.118 616.212
  11 102.843 563.114 615.826
  12 112.843 581.359 612.052
  13 122.843 574.58 610.73
  14 132.843 556.627 606.947
  15 142.843 596.086 606.139
  16 152.843 562.541 604.798
  17 162.843 573.785 608.639
  18 172.843 577.83 608.139
  19 182.843 546.864 609.262
  20 192.843 552.249 611.227
  21 202.843 36.5388 607.474
900000 21 11520
  1 2.84338 556.42 613.624
  2 12.8434 572.78 611.534
  3 22.8434 590.223 613.522
  4 32.8434 566.608 613.721
  5 42.8434 568.963 617.364
  6 52.8434 619.991 621.413
  7 62.8434 619.114 618.01
  8 72.8434 566.727 617.44
  9 82.8434 573.833 618.422
  10 92.8434 564.189 617.458
  11 102.843 565.445 617.484
  12 112.843 580.08 617.355
  13 122.843 574.077 613.25
  14 132.843 557.199 610.626
  15 142.843 595.198 608.327
  16 152.843 561.914 603.554
  17 162.843 574.628 605.198
  18 172.843 577.437 607.781
  19 182.843 546.285 613.579
  20 192.843 553.85 613.979
  21 202.843 35.0376 614.553
1000000 21 11520
  1 2.84338 554.22 614.921
  2 12.8434 573.948 619.082
  3 22.8434 594.402 621.161
  4 32.8434 567.733 624.885
  5 42.8434 569.123 626.752
  6 52.8434 619.429 626.678
  7 62.8434 618.638 624.286
  8 72.8434 565.743 623.737
  9 82.8434 573.716 618.645
  10 92.8434 563.848 620.5
  11 102.843 567.294 617.699
  12 112.843 575.536 616.259
  13 122.843 577.012 616.606
  14 132.843 556.465 609.949
  15 142.843 595.261 608.394
  16 152.843 562.736 605.62
  17 162.843 574.171 607.69
  18 172.843 577.944 609.642
  19 182.843 545.168 614.805
  20 192.843 553.526 614.154
  21 202.843 34.0874 614.405
