# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 21 11520
  1 2.84338 554.914 637.37
  2 12.8434 571.831 640.173
  3 22.8434 593.511 645.242
  4 32.8434 573.156 646.356
  5 42.8434 574.086 651.59
  6 52.8434 612.048 659.834
  7 62.8434 622.321 658.982
  8 72.8434 563.299 658.867
  9 82.8434 570.481 656.346
  10 92.8434 569.442 658.076
  11 102.843 564.006 652.619
  12 112.843 577.778 650.058
  13 122.843 573.734 644.312
  14 132.843 555.975 637.859
  15 142.843 594.708 633.632
  16 152.843 566.063 635.035
  17 162.843 581.873 638.411
  18 172.843 575.417 640.653
  19 182.843 540.64 637.128
  20 192.843 554.583 636.473
  21 202.843 30.132 634.408
200000 21 11520
  1 2.84338 554.834 647.533
  2 12.8434 570.191 655.952
  3 22.8434 594.152 654.002
  4 32.8434 573.057 649.884
  5 42.8434 575.62 652.766
  6 52.8434 610.84 656.38
  7 62.8434 621.662 654.694
  8 72.8434 563.762 651.262
  9 82.8434 570.46 652.309
  10 92.8434 570.612 652.875
  11 102.843 563.23 651.375
  12 112.843 577.763 642.67
  13 122.843 574.984 642.101
  14 132.843 557.464 642.177
  15 142.843 592.514 637.902
  16 152.843 565.985 637.953
  17 162.843 583.317 635.298
  18 172.843 574.431 636.341
  19 182.843 540.703 638.501
  20 192.843 554.29 645.031
  21 202.843 30.1284 647.667
300000 21 11520.000000000002
  1 2.84338 554.469 650.265
  2 12.8434 571.541 653.637
  3 22.8434 594.823 652
  4 32.8434 572.606 654.108
  5 42.8434 575.201 660.178
  6 52.8434 611.778 660.121
  7 62.8434 621.521 656.087
  8 72.8434 563.418 653.673
  9 82.8434 570.724 654.625
  10 92.8434 571.403 652.133
  11 102.843 563.788 649.206
  12 112.843 577.902 646.388
  13 122.843 575.464 642.043
  14 132.843 557.299 638.938
  15 142.843 593.606 638.134
  16 152.843 563.791 641.982
  17 162.843 587.483 641.443
  18 172.843 569.749 639.386
  19 182.843 543.627 641.411
  20 192.843 550.907 642.169
  21 202.843 28.8987 644.487
400000 21 11520.000000000002
  1 2.84338 554.991 657.431
  2 12.8434 569.28 658.602
  3 22.8434 594.232 657.357
  4 32.8434 573.358 656.054
  5 42.8434 574.323 662.837
  6 52.8434 612.76 659.025
  7 62.8434 624.375 652.227
  8 72.8434 562.315 654.85
  9 82.8434 570.95 651.62
  10 92.8434 571.294 651.155
  11 102.843 563.477 646.175
  12 112.843 578.045 641.874
  13 122.843 575.634 640.481
  14 132.843 557.303 639.96
  15 142.843 592.965 639.17
  16 152.843 563.411 633.941
  17 162.843 587.731 634.948
  18 172.843 570.278 638.554
  19 182.843 544.435 645.285
  20 192.843 550.045 655.047
  21 202.843 28.7978 654.822
500000 21 11520
  1 2.84338 556.257 649.838
  2 12.8434 566.859 648.521
  3 22.8434 595.255 651.905
  4 32.8434 574.017 658.359
  5 42.8434 573.937 657.516
  6 52.8434 612.705 657.321
  7 62.8434 624.386 657.146
  8 72.8434 562.246 660.865
  9 82.8434 570.856 657.406
  10 92.8434 571.513 653.939
  11 102.843 564.473 649.693
  12 112.843 577.419 647.638
  13 122.843 575.318 647.658
  14 132.843 557.213 644.231
  15 142.843 592.872 640.918
  16 152.843 564.314 636.64
  17 162.843 586.912 638.945
  18 172.843 570.347 641.051
  19 182.843 543.089 645.03
  20 192.843 551.341 645.744
  21 202.843 28.6696 652.633
600000 21 11519.999999999996
  1 2.84338 556.269 646.39
  2 12.8434 566.058 644.452
  3 22.8434 596.441 647.98
  4 32.8434 574.548 651.561
  5 42.8434 575.035 654.336
  6 52.8434 612.608 656.044
  7 62.8434 624.996 659.157
  8 72.8434 562 659.044
  9 82.8434 571.446 657.933
  10 92.8434 570.934 658.177
  11 102.843 564.665 656.074
  12 112.843 573.526 653.542
  13 122.843 574.766 648.692
  14 132.843 556.783 648.197
  15 142.843 593.949 645.484
  16 152.843 564.572 643.282
  17 162.843 586.886 639.541
  18 172.843 570.324 640.355
  19 182.843 544.524 644.668
  20 192.843 551.055 644.438
  21 202.843 28.6152 644.195
700000 21 11519.999999999998
  1 2.84338 556.569 647.564
  2 12.8434 565.896 653.173
  3 22.8434 596.857 657.001
  4 32.8434 575.395 659.194
  5 42.8434 575.27 661.336
  6 52.8434 612.738 656.153
  7 62.8434 625.563 654.853
  8 72.8434 561.786 652.923
  9 82.8434 572.272 653.419
  10 92.8434 571.092 657.071
  11 102.843 565.204 654.689
  12 112.843 570.103 651.964
  13 122.843 574.216 649.464
  14 132.843 556.724 649.521
  15 142.843 594.803 646.719
  16 152.843 564.716 643.183
  17 162.843 587.332 643.943
  18 172.843 570.327 645.001
  19 182.843 544.339 646.061
  20 192.843 550.275 648.984
  21 202.843 28.5229 649.199
800000 21 11520
  1 2.84338 556.587 654.346
  2 12.8434 566.564 656.565
  3 22.8434 597.014 657.994
  4 32.8434 574.286 659.89
  5 42.8434 574.725 663.923
  6 52.8434 612.724 668.246
  7 62.8434 624.86 658.305
  8 72.8434 561.787 653.029
  9 82.8434 572.17 650.723
  10 92.8434 571.856 648.373
