# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 21 11520.000000000002
  1 2.84338 556.569 651.818
  2 12.8434 566.242 657.335
  3 22.8434 596.548 658.075
  4 32.8434 572.146 657.769
  5 42.8434 573.545 658.724
  6 52.8434 613.03 661.485
  7 62.8434 625.498 660.357
  8 72.8434 561.731 659.461
  9 82.8434 571.785 657.862
  10 92.8434 570.299 658.367
  11 102.843 564.604 655.903
  12 112.843 570.613 657.446
  13 122.843 573.642 656.826
  14 132.843 555.087 653.957
  15 142.843 596.738 654.174
  16 152.843 564.982 650.869
  17 162.843 583.698 651.851
  18 172.843 577.407 653.486
  19 182.843 551.611 650.076
  20 192.843 546.434 649.818
  21 202.843 27.7898 648.182
200000 21 11520
  1 2.84338 556.008 658.399
  2 12.8434 564.177 659.417
  3 22.8434 595.611 660.281
  4 32.8434 572.736 660.744
  5 42.8434 573.761 665.497
  6 52.8434 612.997 669.782
  7 62.8434 625.943 669
  8 72.8434 562.569 660.775
  9 82.8434 571.808 657.448
  10 92.8434 570.174 656.031
  11 102.843 565.179 656.132
  12 112.843 571.468 654.909
  13 122.843 573.149 653.672
  14 132.843 555.896 650.652
  15 142.843 595.767 647.304
  16 152.843 566.043 646.664
  17 162.843 584.026 646.617
  18 172.843 576.854 645.753
  19 182.843 551.345 649.639
  20 192.843 546.966 653.839
  21 202.843 27.5237 654.393
300000 21 11519.999999999998
  1 2.84338 555.731 653.612
  2 12.8434 565.213 656.715
  3 22.8434 595.281 662.844
  4 32.8434 572.174 666.438
  5 42.8434 574.041 672.307
  6 52.8434 613.063 675.885
  7 62.8434 626.753 678.418
  8 72.8434 562.571 673.589
  9 82.8434 571.518 668.255
  10 92.8434 569.585 661.786
  11 102.843 564.795 657.686
  12 112.843 571.784 652.031
  13 122.843 572.893 647.772
  14 132.843 555.767 643.742
  15 142.843 595.517 643.918
  16 152.843 567.879 641.302
  17 162.843 583.11 644.833
  18 172.843 576.86 645.059
  19 182.843 553.317 650.784
  20 192.843 545.665 654.484
  21 202.843 26.4851 657.794
400000 21 11520
  1 2.84338 556.528 654.018
  2 12.8434 564.048 657.022
  3 22.8434 596.551 662.795
  4 32.8434 571.923 667.273
  5 42.8434 572.764 671.781
  6 52.8434 613.732 672.669
  7 62.8434 627.067 671.045
  8 72.8434 562.294 671.83
  9 82.8434 572.255 667.501
  10 92.8434 569.567 664.298
  11 102.843 564.939 658.262
  12 112.843 571.821 657.033
  13 122.843 573.033 652.481
  14 132.843 555.912 647.204
  15 142.843 595.279 649.652
  16 152.843 567.087 648.22
  17 162.843 583.435 647.465
  18 172.843 576.745 650.384
  19 182.843 554.224 651.09
  20 192.843 543.842 653.903
  21 202.843 26.9543 656.015
500000 21 11519.999999999998
  1 2.84338 556.233 660.484
  2 12.8434 565.615 657.533
  3 22.8434 597.302 659.566
  4 32.8434 570.945 668.081
  5 42.8434 572.478 673.683
  6 52.8434 614.762 675.539
  7 62.8434 626.179 674.727
  8 72.8434 563.058 666.781
  9 82.8434 571.175 664.986
  10 92.8434 569.56 659.826
  11 102.843 565.587 655.99
  12 112.843 572.28 653.773
  13 122.843 572.921 655.611
  14 132.843 552.208 654.074
  15 142.843 598.809 658.048
  16 152.843 565.629 657.441
  17 162.843 583.07 653.057
  18 172.843 576.169 653.711
  19 182.843 553.205 652.39
  20 192.843 545.685 657.996
  21 202.843 27.13 657.405
600000 21 11520.000000000002
  1 2.84338 556.581 660.39
  2 12.8434 565.619 664.575
  3 22.8434 596.601 667.98
  4 32.8434 569.63 670.971
  5 42.8434 573.224 678.431
  6 52.8434 614.349 677.127
  7 62.8434 626.357 673.649
  8 72.8434 564.148 669.566
  9 82.8434 571.72 669.068
  10 92.8434 568.257 668.712
  11 102.843 565.424 664.422
  12 112.843 571.405 663.244
  13 122.843 572.761 656.487
  14 132.843 553.291 650.943
  15 142.843 601.669 648.41
  16 152.843 564.639 643.157
  17 162.843 583.843 651.07
  18 172.843 574.775 651.865
  19 182.843 554.216 651.053
  20 192.843 544.543 658.384
  21 202.843 26.9477 662.08
700000 21 11520.000000000002
  1 2.84338 556.304 666.013
  2 12.8434 565.295 672.015
  3 22.8434 596.732 669.127
  4 32.8434 570.582 667.319
  5 42.8434 572.238 666.999
  6 52.8434 613.706 671.077
  7 62.8434 627.92 667.412
  8 72.8434 562.957 668.56
  9 82.8434 572.179 662.597
  10 92.8434 568.603 662.353
  11 102.843 565.646 663.042
  12 112.843 572.215 657.642
  13 122.843 573.105 650.53
  14 132.843 553.809 653.699
  15 142.843 600.963 657.01
  16 152.843 564.085 655.132
  17 162.843 584.842 659.541
  18 172.843 573.595 657.923
  19 182.843 554.872 661.664
  20 192.843 543.348 663.337
  21 202.843 27.002 664.464
800000 21 11519.999999999998
  1 2.84338 557.301 655.954
  2 12.8434 564.53 658.371
  3 22.8434 596.828 665.651
  4 32.8434 571.232 668.201
  5 42.8434 573.591 668.64
  6 52.8434 613.859 673.69
  7 62.8434 627.707 672.225
  8 72.8434 562.827 672.374
  9 82.8434 573.307 669.905
  10 92.8434 567.292 667.834
  11 102.843 566.215 663.497
  12 112.843 572.002 664.877
  13 122.843 573.133 670.363
  14 132.843 554.836 662.383
  15 142.843 600.087 657.501
  16 152.843 561.461 657.494
  17 162.843 583.021 656.155
  18 172.843 576.506 654.996
  19 182.843 554.355 657.939
  20 192.843 543.245 655.261
  21 202.843 26.6645 654.797
