# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 21 11520
  1 2.84338 555.943 620.979
  2 12.8434 575.888 623.173
  3 22.8434 596.49 622.3
  4 32.8434 568.549 625.55
  5 42.8434 570.156 627.947
  6 52.8434 617.555 631.525
  7 62.8434 618.429 630.177
  8 72.8434 564.924 630.357
  9 82.8434 570.609 631.763
  10 92.8434 569.057 631.103
  11 102.843 565.055 624.461
  12 112.843 573.243 615.364
  13 122.843 578.484 613.794
  14 132.843 556.925 613.032
  15 142.843 594.401 609.616
  16 152.843 562.563 605.455
  17 162.843 574.011 607.799
  18 172.843 577.959 612.827
  19 182.843 546.073 617.436
  20 192.843 552.301 620.131
  21 202.843 31.3856 623.762
200000 21 11520.000000000004
  1 2.84338 555.421 628.002
  2 12.8434 578.795 633.04
  3 22.8434 596.756 639.117
  4 32.8434 568.808 640.532
  5 42.8434 568.283 639.317
  6 52.8434 615.667 635.26
  7 62.8434 617.719 632.904
  8 72.8434 565.762 627.002
  9 82.8434 570.084 623.878
  10 92.8434 570.257 617.074
  11 102.843 562.878 614.146
  12 112.843 574.825 614.197
  13 122.843 577.054 614.634
  14 132.843 558.103 612.469
  15 142.843 595.074 612.828
  16 152.843 562.16 609.941
  17 162.843 574.058 614.78
  18 172.843 577.776 616.386
  19 182.843 545.844 621.061
  20 192.843 552.769 620.424
  21 202.843 31.9071 624.436
300000 21 11519.999999999998
  1 2.84338 554.546 633.836
  2 12.8434 574.19 635.3
  3 22.8434 596.901 636.598
  4 32.8434 572.039 636.507
  5 42.8434 566.83 635.394
  6 52.8434 615.472 636.647
  7 62.8434 617.801 632.652
  8 72.8434 566.878 631.036
  9 82.8434 570.833 629.216
  10 92.8434 568.285 627.643
  11 102.843 563.724 624.294
  12 112.843 576.226 623.308
  13 122.843 577.138 621.995
  14 132.843 558.217 619.856
  15 142.843 596.119 620.18
  16 152.843 561.476 622.857
  17 162.843 574.643 629.213
  18 172.843 578.377 625.146
  19 182.843 545.065 626.48
  20 192.843 553.182 627.329
  21 202.843 32.0566 631.36
400000 21 11520
  1 2.84338 554.112 631.741
  2 12.8434 568.925 636.394
  3 22.8434 598.543 639.738
  4 32.8434 573.143 640.145
  5 42.8434 566.936 643.838
  6 52.8434 615.786 644.19
  7 62.8434 618.703 639.673
  8 72.8434 567.925 640.072
  9 82.8434 569.364 637.545
  10 92.8434 568.734 633.004
  11 102.843 564.323 631.79
  12 112.843 576.371 630.221
  13 122.843 578.86 628.406
  14 132.843 559.176 628.466
  15 142.843 595.312 626.119
  16 152.843 562.09 625.305
  17 162.843 575.14 627.135
  18 172.843 579.002 625.838
  19 182.843 544.401 628.979
  20 192.843 551.196 626.528
  21 202.843 31.9576 629.941
500000 21 11520.000000000002
  1 2.84338 554.223 640.643
  2 12.8434 568.256 645.258
  3 22.8434 597.928 644.993
  4 32.8434 573.353 645.572
  5 42.8434 567.096 647.53
  6 52.8434 615.783 648.406
  7 62.8434 619.943 643.565
  8 72.8434 567.867 639.108
  9 82.8434 569.809 638.165
  10 92.8434 568.43 636.64
  11 102.843 565.462 632.353
  12 112.843 575.756 628.45
  13 122.843 578.418 627.456
  14 132.843 556.318 624.797
  15 142.843 596.204 621.855
  16 152.843 563.218 622.406
  17 162.843 575.011 624.322
  18 172.843 579.348 628.354
  19 182.843 544.364 631.498
  20 192.843 551.509 637.78
  21 202.843 31.7042 636.314
600000 21 11520.000000000002
  1 2.84338 553.617 636.475
  2 12.8434 568.921 639.649
  3 22.8434 596.588 637.888
  4 32.8434 573.537 640.493
  5 42.8434 567.42 645.977
  6 52.8434 615.697 645.872
  7 62.8434 619.853 643.293
  8 72.8434 566.982 643.206
  9 82.8434 569.063 645.204
  10 92.8434 568.091 642.552
  11 102.843 565.013 640.009
  12 112.843 576.722 636.533
  13 122.843 577.18 631.732
  14 132.843 556.399 633.358
  15 142.843 594.809 633.043
  16 152.843 566.569 631.068
  17 162.843 576.266 633.323
  18 172.843 579.15 630.337
  19 182.843 543.831 630.422
  20 192.843 551.423 634.369
  21 202.843 32.8701 637.392
700000 21 11520.000000000002
  1 2.84338 554.61 636.385
  2 12.8434 568.321 640.473
  3 22.8434 597.769 647.503
  4 32.8434 573.469 647.547
  5 42.8434 567.56 648.304
  6 52.8434 614.496 647.397
  7 62.8434 620.9 647.987
  8 72.8434 566.909 642.701
  9 82.8434 569.164 642.507
  10 92.8434 568.537 638.503
  11 102.843 565.087 641.078
  12 112.843 577.467 641.056
  13 122.843 577.422 639.666
  14 132.843 558.181 632.969
  15 142.843 593.339 628.718
  16 152.843 565.146 627.313
  17 162.843 576.531 633.041
  18 172.843 578.576 637.37
  19 182.843 542.05 640.042
  20 192.843 553.189 637.676
  21 202.843 31.2768 634.092
800000 21 11520.000000000004
  1 2.84338 555.901 641.114
  2 12.8434 567.043 646.838
  3 22.8434 597.396 648.239
  4 32.8434 573.683 650.222
  5 42.8434 574.461 650.965
  6 52.8434 612.853 650.352
  7 62.8434 621.005 648.676
  8 72.8434 566.396 645.582
  9 82.8434 569.087 644.17
  10 92.8434 568.985 644.814
  11 102.843 564.256 643.038
  12 112.843 577.042 640.561
  13 122.843 575.889 637.868
  14 132.843 559.8 634.746
  15 142.843 592.984 631.86
  16 152.843 565.427 630.458
  17 162.843 576.545 633.327
  18 172.843 577.49 638.88
  19 182.843 539.487 641.798
  20 192.843 554.277 639.328
  21 202.843 29.9916 641.703
900000 21 11520.000000000002
  1 2.84338 555.576 649.063
  2 12.8434 569.863 650.348
  3 22.8434 594.234 649.9
  4 32.8434 573.475 652.441
  5 42.8434 574.92 652.355
  6 52.8434 611.923 652.532
  7 62.8434 621.693 650.247
  8 72.8434 564.589 650.516
  9 82.8434 569.081 650.507
  10 92.8434 570.061 648.01
  11 102.843 563.976 645.925
  12 112.843 577.683 641.483
  13 122.843 574.091 633.387
  14 132.843 560.351 631.893
  15 142.843 590.885 628.207
  16 152.843 567.707 627.87
  17 162.843 576.289 635.887
  18 172.843 578.382 641.224
  19 182.843 540.723 644.787
  20 192.843 554.471 646.045
  21 202.843 30.0273 644.838
1000000 21 11520
  1 2.84338 555.378 647.34
  2 12.8434 572.255 654.42
  3 22.8434 591.588 657.02
  4 32.8434 572.915 655.495
  5 42.8434 574.872 658.475
  6 52.8434 611.551 656.719
  7 62.8434 622.129 657.412
  8 72.8434 563.818 650.755
  9 82.8434 568.971 650.523
  10 92.8434 570.961 646.083
  11 102.843 564.715 642.823
  12 112.843 577.039 639.369
  13 122.843 572.606 635.293
  14 132.843 558.342 632.224
  15 142.843 592.384 630.887
  16 152.843 568.118 633.339
  17 162.843 580.428 639.726
  18 172.843 576.123 637.377
  19 182.843 541.071 639.03
  20 192.843 554.469 643.434
  21 202.843 30.2687 643.701
