# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 40 23040
  1 1.32821 571.687 439.518
  2 11.3282 593.058 442.694
  3 21.3282 587.194 444.137
  4 31.3282 553.007 448.225
  5 41.3282 558.283 449.241
  6 51.3282 565.554 451.974
  7 61.3282 578.17 455.632
  8 71.3282 579.339 454.946
  9 81.3282 622.783 457.03
  10 91.3282 588.569 459.061
  11 101.328 605.302 459.504
  12 111.328 563.47 456.852
  13 121.328 572.104 455.892
  14 131.328 572.692 454.591
  15 141.328 552.584 452.278
  16 151.328 570.988 443.994
  17 161.328 571.1 443.835
  18 171.328 594.496 444.287
  19 181.328 601.521 442.022
  20 191.328 594.245 440.29
  21 201.328 590.362 437.15
  22 211.328 569.344 435.129
  23 221.328 578.559 432.756
  24 231.328 597.673 430.234
  25 241.328 587.176 427.693
  26 251.328 583.268 427.324
  27 261.328 586.989 426.98
  28 271.328 609.681 422.152
  29 281.328 542.413 418.075
  30 291.328 563.745 417.785
  31 301.328 550.69 416.06
  32 311.328 569.334 418.142
  33 321.328 582.888 423.383
  34 331.328 573.322 423.775
  35 341.328 576.611 426.788
  36 351.328 555.622 431.006
  37 361.328 550.828 433.225
  38 371.328 562.574 433.859
  39 381.328 546.433 433.682
  40 391.328 566.342 437.566
200000 40 23040
  1 1.32821 571.292 441.363
  2 11.3282 592.876 441.985
  3 21.3282 586.097 443.36
  4 31.3282 554.15 444.139
  5 41.3282 559.166 447.088
  6 51.3282 564.406 449.987
  7 61.3282 577.198 453.183
  8 71.3282 579.898 453.678
  9 81.3282 624.191 456.748
  10 91.3282 589.974 457.647
  11 101.328 604.464 460.951
  12 111.328 563.538 457.176
  13 121.328 571.691 455.077
  14 131.328 573.268 453.069
  15 141.328 552.173 452.169
  16 151.328 571.17 448.297
  17 161.328 571.711 448.633
  18 171.328 594.364 445.346
  19 181.328 601.415 442.233
  20 191.328 593.88 438.961
  21 201.328 590.349 433.107
  22 211.328 569.035 435.23
  23 221.328 579.09 432.038
  24 231.328 597.706 429.387
  25 241.328 587.2 428.622
  26 251.328 584.067 427.965
  27 261.328 586.098 424.377
  28 271.328 609.216 424.756
  29 281.328 542.226 423.276
  30 291.328 563.085 421.041
  31 301.328 551.065 420.503
  32 311.328 568.109 427.813
  33 321.328 583.466 428.539
  34 331.328 572.669 428.117
  35 341.328 577.384 429.32
  36 351.328 555.342 430.53
  37 361.328 550.57 432.438
  38 371.328 563.043 434.542
  39 381.328 547.175 436.163
  40 391.328 566.183 438.655
300000 40 23040.000000000007
  1 1.32821 571.299 438.474
  2 11.3282 592.864 439.75
  3 21.3282 585.932 447.038
  4 31.3282 554.651 448.889
  5 41.3282 559.222 449.607
  6 51.3282 564.103 450.061
  7 61.3282 576.892 452.567
  8 71.3282 579.988 456.394
  9 81.3282 623.992 459.606
  10 91.3282 590.928 462.736
  11 101.328 603.89 462.209
  12 111.328 563.38 458.568
  13 121.328 571.748 454.176
  14 131.328 573.182 453.372
  15 141.328 552.192 451.334
  16 151.328 571.504 446.512
  17 161.328 572.491 443.573
  18 171.328 593.212 443.559
  19 181.328 601.648 439.866
  20 191.328 594.192 440.204
  21 201.328 590.358 435.843
  22 211.328 569.426 432.13
  23 221.328 578.723 434.007
  24 231.328 597.979 431.185
  25 241.328 586.654 431.297
  26 251.328 583.321 429.984
  27 261.328 586.29 426.442
  28 271.328 609.911 425.48
  29 281.328 542.486 426.115
  30 291.328 562.573 422.592
  31 301.328 550.925 421.162
  32 311.328 568.539 424.329
  33 321.328 583.747 426.179
  34 331.328 572.756 428.06
  35 341.328 576.856 430.729
  36 351.328 555.177 431.879
  37 361.328 550.733 434.436
  38 371.328 562.417 433.583
  39 381.328 547.371 435.134
  40 391.328 566.449 438.903
400000 40 23039.999999999996
  1 1.32821 569.814 439.856
  2 11.3282 593.194 440.466
  3 21.3282 586.717 444.808
  4 31.3282 554.673 445.755
  5 41.3282 559.448 449.853
  6 51.3282 564.008 448.459
  7 61.3282 576.958 452.245
  8 71.3282 580.488 457.337
  9 81.3282 623.711 459.945
  10 91.3282 588.884 459.849
  11 101.328 604.266 461.877
  12 111.328 562.647 457.858
  13 121.328 572.136 455.849
  14 131.328 573.079 452.79
  15 141.328 552.246 453.467
  16 151.328 570.709 449.444
  17 161.328 573.237 446.45
  18 171.328 594.244 444.804
  19 181.328 601.479 440.501
  20 191.328 594.674 438.412
  21 201.328 590.378 439.481
  22 211.328 569.505 437.293
  23 221.328 578.401 435.657
  24 231.328 598.616 436.176
  25 241.328 586.676 432.945
  26 251.328 582.629 428.556
  27 261.328 586.494 427.426
  28 271.328 610.375 423.389
  29 281.328 541.865 424.42
  30 291.328 562.787 421.676
  31 301.328 550.667 420.407
  32 311.328 569.112 421.212
  33 321.328 584.026 425.371
  34 331.328 572.736 427.628
  35 341.328 576.416 429.723
  36 351.328 555.342 431.703
  37 361.328 550.998 432.271
  38 371.328 562.204 436.353
  39 381.328 547.309 438.077
  40 391.328 566.852 439.501
500000 40 23039.999999999996
  1 1.32821 570.743 434.842
  2 11.3282 593.029 435.217
  3 21.3282 586.604 438.924
  4 31.3282 554.86 444.312
  5 41.3282 558.915 447.079
  6 51.3282 564.326 449.646
  7 61.3282 575.265 450.756
  8 71.3282 581.448 456.595
  9 81.3282 623.812 458.535
  10 91.3282 589.459 461.604
  11 101.328 603.835 464.098
  12 111.328 562.296 460.105
  13 121.328 572.754 458.413
  14 131.328 572.842 455.547
  15 141.328 553.102 452.837
  16 151.328 570.774 450.21
  17 161.328 573.775 448.432
  18 171.328 594.353 444.797
  19 181.328 601.694 443.109
  20 191.328 593.719 441.219
  21 201.328 590.829 438.035
  22 211.328 569.737 438.926
  23 221.328 578.276 436.895
  24 231.328 599.163 434.007
  25 241.328 586.859 431.273
  26 251.328 583.722 430.279
  27 261.328 586.959 432.849
  28 271.328 608.663 430.667
  29 281.328 543.126 426.974
  30 291.328 562.803 423.36
  31 301.328 549.718 424.884
  32 311.328 567.772 427.057
  33 321.328 583.567 429.022
  34 331.328 571.316 429.037
  35 341.328 576.683 430.483
  36 351.328 554.368 432.236
  37 361.328 551.103 434.382
  38 371.328 562.565 439.455
  39 381.328 548.272 437.522
  40 391.328 566.896 435.885
600000 40 23039.999999999993
  1 1.32821 570.53 437.444
  2 11.3282 593.195 438.321
  3 21.3282 585.426 440.272
  4 31.3282 555.003 447.355
  5 41.3282 559.172 452.359
  6 51.3282 564.035 453.575
  7 61.3282 574.944 456.785
  8 71.3282 581.539 457.129
  9 81.3282 623.581 459.583
  10 91.3282 588.937 461.876
  11 101.328 604.741 460.279
  12 111.328 562.436 457.209
  13 121.328 572.569 455.084
  14 131.328 572.715 453.728
  15 141.328 552.47 453.362
  16 151.328 571.084 452.63
  17 161.328 573.816 449.16
  18 171.328 594.853 447.192
  19 181.328 602.304 443.369
  20 191.328 593.393 441.441
  21 201.328 591.726 440.188
  22 211.328 568.651 440.339
  23 221.328 578.298 438.898
  24 231.328 598.433 439.863
  25 241.328 586.055 439.863
  26 251.328 585.99 438.312
  27 261.328 587.027 435.686
  28 271.328 607.072 431.269
  29 281.328 545.045 425.502
  30 291.328 563.43 424.221
  31 301.328 549.411 420.08
  32 311.328 567.858 422.012
  33 321.328 583.66 424.771
  34 331.328 571.897 425.375
  35 341.328 576.097 426.141
  36 351.328 554.402 429.141
  37 361.328 551.022 431.839
  38 371.328 562.649 432.105
  39 381.328 547.49 435.82
  40 391.328 567.045 434.87
700000 40 23040.000000000004
  1 1.32821 570.853 442.229
  2 11.3282 593.467 443.313
  3 21.3282 585.44 442.192
  4 31.3282 555.387 446.754
  5 41.3282 559.37 445.153
  6 51.3282 564.123 443.471
  7 61.3282 575.29 446.055
  8 71.3282 581.139 447.373
  9 81.3282 625.243 449.163
  10 91.3282 589.165 453.095
  11 101.328 604.492 455.599
  12 111.328 562.594 454.814
  13 121.328 572.063 453.997
  14 131.328 572.575 451.027
  15 141.328 553.665 449.795
  16 151.328 571.385 448.614
  17 161.328 574.199 451.871
  18 171.328 595.581 451.261
