# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_atemp
100000 40 23039.999999999993
  1 1.32821 570.504 386.261
  2 11.3282 582.41 387.16
  3 21.3282 580.667 387.427
  4 31.3282 553.321 386.575
  5 41.3282 552.11 389.913
  6 51.3282 560.223 389.161
  7 61.3282 573.615 390.325
  8 71.3282 585.373 392.504
  9 81.3282 617.442 393.223
  10 91.3282 589.941 396.194
  11 101.328 614.73 399.111
  12 111.328 566.532 396.122
  13 121.328 568.34 394.284
  14 131.328 576.101 393.393
  15 141.328 565.938 391.631
  16 151.328 562.793 389.606
  17 161.328 571.592 388.791
  18 171.328 593.43 388.291
  19 181.328 599.285 386.019
  20 191.328 592.29 384.569
  21 201.328 593.869 381.627
  22 211.328 570.63 380.158
  23 221.328 586.917 378.721
  24 231.328 603.495 378.073
  25 241.328 587.14 374.228
  26 251.328 594.839 371.549
  27 261.328 572.99 367.712
  28 271.328 577.359 366.21
  29 281.328 554.884 364.974
  30 291.328 560.79 362.919
  31 301.328 568.098 362.47
  32 311.328 558.73 363.857
  33 321.328 585.271 363.658
  34 331.328 577.982 365.986
  35 341.328 576.729 369.321
  36 351.328 552.598 373.334
  37 361.328 558.847 373.785
  38 371.328 553.726 375.332
  39 381.328 558.127 378.542
  40 391.328 570.34 381.73
200000 40 23040
  1 1.32821 570.93 384.132
  2 11.3282 579.084 387.209
  3 21.3282 585.071 386.956
  4 31.3282 553.711 387.76
  5 41.3282 552.721 389.598
  6 51.3282 560.968 392.768
  7 61.3282 575.509 395.004
  8 71.3282 582.681 398.302
  9 81.3282 618.306 399.051
  10 91.3282 588.706 403.047
  11 101.328 612.99 408.549
  12 111.328 566.946 410.564
  13 121.328 566.62 405
  14 131.328 572.649 403.01
  15 141.328 566.509 401.618
  16 151.328 564.251 398.172
  17 161.328 573.542 400.277
  18 171.328 594.377 396.941
  19 181.328 601.851 394.909
  20 191.328 593.333 392.786
  21 201.328 591.055 391.346
  22 211.328 570.402 389.996
  23 221.328 585.362 386.515
  24 231.328 601.781 384.268
  25 241.328 586.94 382.307
  26 251.328 594.052 384.443
  27 261.328 576.474 381.724
  28 271.328 579.597 377.472
  29 281.328 554.097 373.813
  30 291.328 560.821 370.016
  31 301.328 567.563 369.414
  32 311.328 558.373 370.81
  33 321.328 585.436 371.807
  34 331.328 578.316 372.967
  35 341.328 576.106 375.86
  36 351.328 555.674 378.042
  37 361.328 559.341 379.502
  38 371.328 552.979 378.446
  39 381.328 555.488 380.104
  40 391.328 569.389 381.765
300000 40 23040.000000000004
  1 1.32821 570.36 393.141
  2 11.3282 579.879 397.618
  3 21.3282 584.515 400.004
  4 31.3282 555.267 399.322
  5 41.3282 550.787 400.429
  6 51.3282 560.032 402.157
  7 61.3282 575.638 403.118
  8 71.3282 583.569 406.758
  9 81.3282 620.536 407.119
  10 91.3282 590.348 409.635
  11 101.328 614.173 410.643
  12 111.328 566.481 408.336
  13 121.328 566.783 406.109
  14 131.328 572.26 405.608
  15 141.328 565.472 404.659
  16 151.328 569.515 402.393
  17 161.328 576.519 401.571
  18 171.328 595.683 401.577
  19 181.328 603.396 400.34
  20 191.328 591.879 398.522
  21 201.328 585.714 397.133
  22 211.328 568.429 393.768
  23 221.328 584.857 391.259
  24 231.328 600.6 390.073
  25 241.328 587.291 387.455
  26 251.328 593.817 385.312
  27 261.328 578.073 382.016
  28 271.328 581.144 379.29
  29 281.328 553.364 375.682
  30 291.328 558.362 371.348
  31 301.328 565.127 370.513
  32 311.328 560.06 374.287
  33 321.328 584.912 376.507
  34 331.328 577.866 378.527
  35 341.328 576.664 385.578
  36 351.328 556.466 386.686
  37 361.328 557.383 388.499
  38 371.328 552.201 389.011
  39 381.328 555.138 388.565
  40 391.328 569.44 390.215
400000 40 23039.99999999999
  1 1.32821 571.773 398.7
  2 11.3282 581.409 399.615
  3 21.3282 581.837 400.49
  4 31.3282 556.892 406.714
  5 41.3282 549.408 409.174
  6 51.3282 560.517 411.246
  7 61.3282 575.311 414.028
  8 71.3282 583.289 414.104
  9 81.3282 620.932 416.256
  10 91.3282 589.017 416.656
  11 101.328 616.793 418.53
  12 111.328 567.776 417.321
  13 121.328 566.16 414.83
  14 131.328 572.157 412.986
  15 141.328 565.668 409.965
  16 151.328 567.584 407.365
  17 161.328 580.017 405.986
  18 171.328 596.52 404.106
  19 181.328 605.622 401.31
  20 191.328 590.298 398.16
  21 201.328 584.836 399.335
  22 211.328 568.873 394.568
  23 221.328 584.979 392.922
  24 231.328 600.431 389.988
  25 241.328 586.39 389.329
  26 251.328 591.063 385.623
  27 261.328 579.065 382.12
  28 271.328 582.317 377.892
  29 281.328 553.151 377.443
  30 291.328 560.331 377.877
  31 301.328 562.636 376.866
  32 311.328 561.303 376.701
  33 321.328 584.928 380.929
  34 331.328 572.064 383.204
  35 341.328 580.301 385.971
  36 351.328 556.74 390.486
  37 361.328 557.173 391.072
  38 371.328 549.453 394.268
  39 381.328 555.275 395.017
  40 391.328 569.713 397.787
500000 40 23039.999999999993
  1 1.32821 571.786 398.987
  2 11.3282 583.454 401.051
  3 21.3282 583.066 404.551
  4 31.3282 556.679 409.573
  5 41.3282 551.978 410.09
  6 51.3282 560.513 412.27
  7 61.3282 576.085 415.021
  8 71.3282 582.298 419.044
  9 81.3282 620.666 420.139
  10 91.3282 586.98 426.664
  11 101.328 618.46 425.742
  12 111.328 567.818 424.85
  13 121.328 565.357 420.427
  14 131.328 571.427 417.386
  15 141.328 565.759 414.739
  16 151.328 567.719 412.882
  17 161.328 579.01 410.398
  18 171.328 600.402 408.552
  19 181.328 604.659 406.761
  20 191.328 591.449 405.353
  21 201.328 586.321 400.844
  22 211.328 566.967 399.398
  23 221.328 585.02 400.527
  24 231.328 601.57 398.183
  25 241.328 583.343 395.988
  26 251.328 590.884 395.275
  27 261.328 579.955 393.816
  28 271.328 582.591 391.693
  29 281.328 549.824 390.674
  30 291.328 562.463 386.736
  31 301.328 561.996 383.138
  32 311.328 566.102 384.999
  33 321.328 583.761 389.18
  34 331.328 571.371 388.847
  35 341.328 579.322 387.593
  36 351.328 557.729 387.398
  37 361.328 552.203 391.662
  38 371.328 547.141 395.038
  39 381.328 558.136 396.891
  40 391.328 567.736 396.375
600000 40 23039.999999999993
  1 1.32821 571.288 407.566
  2 11.3282 584.669 408.137
  3 21.3282 583.602 406.186
  4 31.3282 557.212 411.115
